doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Liebe,Liebe,PROPN,PERSON_B
text1,1,2,Leser,Leser,PROPN,PERSON_I
text1,1,3,:,:,PUNCT,
text1,1,4,innen,innen,NOUN,
text1,1,5,",",",",PUNCT,
text3,1,1,es,es,PROPN,
text3,1,2,fehlen,fehlen,PROPN,
text3,1,3,noch,noch,PROPN,
text3,1,4,sehr,sehr,PROPN,
text3,1,5,viele,viele,PROPN,
text3,1,6,Spenden,Spenden,PROPN,GPE_B
text3,1,7,",",",",PUNCT,
text3,1,8,damit,damit,PROPN,
text3,1,9,wir,wir,PROPN,
text3,1,10,i,I,PRON,
text3,1,11,m,m,AUX,
text3,1,12,nächsten,nächsten,VERB,
text3,1,13,Jahr,Jahr,PROPN,PERSON_B
text3,1,14,so,so,ADV,
text3,1,15,weitermachen,weitermachen,PROPN,
text3,1,16,können,können,PROPN,
text3,1,17,wie,wie,PROPN,
text3,1,18,bisher,bisher,PROPN,
text3,1,19,.,.,PUNCT,
text3,2,1,Genau,Genau,PROPN,
text3,2,2,genommen,genomman,NOUN,
text3,2,3,sind,sind,VERB,
text3,2,4,es,es,X,
text3,2,5,mehr,mehr,NOUN,
text3,2,6,als,al,NOUN,
text3,2,7,308.000,308.000,NUM,CARDINAL_B
text3,2,8,Euro,Euro,PROPN,
text3,2,9,",",",",PUNCT,
text3,2,10,die,die,VERB,
text3,2,11,in,in,ADP,
text3,2,12,den,den,PROPN,
text3,2,13,kommenden,kommenden,PROPN,
text3,2,14,zwei,zwei,PROPN,
text3,2,15,Wochen,Wochen,PROPN,
text3,2,16,reinkommen,reinkommen,PROPN,
text3,2,17,müssen,müssen,PROPN,PERSON_B
text3,2,18,.,.,PUNCT,
text5,1,1,Vielerorts,vielerort,NOUN,ORG_B
text5,1,2,riecht,riecht,VERB,
text5,1,3,es,es,PROPN,
text5,1,4,nach,nach,PROPN,
text5,1,5,gebrannten,gebrannten,VERB,
text5,1,6,Mandeln,Mandeln,PROPN,ORG_B
text5,1,7,und,und,PROPN,
text5,1,8,Glühwein,Glühwein,PROPN,PERSON_B
text5,1,9,.,.,PUNCT,
text5,2,1,Wir,Wir,PROPN,
text5,2,2,schauen,schauen,NOUN,
text5,2,3,derweil,derweil,PROPN,ORG_B
text5,2,4,nervös,nervös,PROPN,
text5,2,5,auf,auf,PROPN,
text5,2,6,unser,unser,NOUN,
text5,2,7,Vereinskonto,Vereinskonto,PROPN,PRODUCT_B
text5,2,8,.,.,PUNCT,
text5,3,1,Von,Von,PROPN,PERSON_B
text5,3,2,Besinnlichkeit,Besinnlichkeit,PROPN,PERSON_I
text5,3,3,und,und,PROPN,
text5,3,4,Festtagslaune,Festtagslaune,PROPN,
text5,3,5,kann,kann,NOUN,
text5,3,6,bei,bei,NOUN,
text5,3,7,uns,un,VERB,
text5,3,8,noch,noch,PROPN,
text5,3,9,keine,keine,PROPN,
text5,3,10,Rede,Rede,PROPN,
text5,3,11,sein,sein,PROPN,
text5,3,12,.,.,PUNCT,
text7,1,1,Dabei,dabei,VERB,
text7,1,2,gibt,gibt,NOUN,
text7,1,3,es,es,NOUN,
text7,1,4,in,in,ADP,
text7,1,5,dieser,dieser,PROPN,
text7,1,6,Woche,Woche,PROPN,
text7,1,7,auch,auch,NOUN,
text7,1,8,etwas,etwa,VERB,
text7,1,9,zu,zu,PROPN,
text7,1,10,feiern,feiern,NOUN,
text7,1,11,:,:,PUNCT,
text7,1,12,Der,Der,PROPN,PERSON_B
text7,1,13,erste,erste,NOUN,
text7,1,14,Anlauf,Anlauf,PROPN,PERSON_B
text7,1,15,",",",",PUNCT,
text7,1,16,europaweit,europaweit,ADJ,
text7,1,17,eine,eine,NOUN,
text7,1,18,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text7,1,19,einzuführen,einzuführen,PROPN,
text7,1,20,",",",",PUNCT,
text7,1,21,scheint,scheint,VERB,
text7,1,22,vorerst,vorerst,ADJ,
text7,1,23,gescheitert,gescheitert,NOUN,
text7,1,24,.,.,PUNCT,
text7,2,1,Dieser,Dieser,PROPN,PERSON_B
text7,2,2,Etappensieg,Etappensieg,PROPN,PERSON_I
text7,2,3,ist,ist,ADP,
text7,2,4,nicht,nicht,PROPN,
text7,2,5,nur,nur,VERB,
text7,2,6,dem,dem,INTJ,NORP_B
text7,2,7,unermüdlichem,unermüdlichem,PROPN,
text7,2,8,Einsatz,Einsatz,PROPN,PERSON_B
text7,2,9,von,von,PROPN,PERSON_I
text7,2,10,Bürgerrechtsorganisationen,Bürgerrechtsorganisationen,PROPN,PERSON_I
text7,2,11,",",",",PUNCT,
text7,2,12,Datenschützer,Datenschützer,PROPN,PERSON_B
text7,2,13,:,:,PUNCT,
text7,2,14,innen,innen,NOUN,
text7,2,15,und,und,PROPN,
text7,2,16,Politiker,Politiker,PROPN,
text7,2,17,:,:,PUNCT,
text7,2,18,innen,innen,NOUN,
text7,2,19,unterschiedlicher,unterschiedlicher,NOUN,
text7,2,20,Couleur,Couleur,PROPN,PERSON_B
text7,2,21,zu,zu,PROPN,PERSON_I
text7,2,22,verdanken,verdanken,VERB,PERSON_I
text7,2,23,.,.,PUNCT,
text7,3,1,Sondern,sondern,ADJ,
text7,3,2,auch,auch,NOUN,
text7,3,3,netzpolitik.org,netzpolitik.org,SYM,ORG_B
text7,3,4,hat,hat,NOUN,
text7,3,5,seinen,seinen,NOUN,PERSON_B
text7,3,6,Anteil,Anteil,PROPN,PERSON_I
text7,3,7,daran,daran,NOUN,
text7,3,8,",",",",PUNCT,
text7,3,9,dass,dass,NOUN,
