doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Internet,internet,NOUN,
text1,1,2,-,-,PUNCT,
text1,1,3,Dienste,Dienste,PROPN,
text1,1,4,sollen,sollen,NOUN,
text1,1,5,nicht,nicht,PROPN,
text1,1,6,zur,zur,PROPN,
text1,1,7,Chatkontrolle,Chatkontrolle,PROPN,GPE_B
text1,1,8,verpflichtet,verpflichtet,NOUN,
text1,1,9,werden,werden,X,
text1,1,10,",",",",PUNCT,
text1,1,11,die,die,VERB,
text1,1,12,Kommunikation,Kommunikation,PROPN,
text1,1,13,ihrer,ihrer,NOUN,
text1,1,14,Nutzer,Nutzer,PROPN,ORG_B
text1,1,15,aber,aber,PROPN,
text1,1,16,freiwillig,freiwillig,PROPN,
text1,1,17,durchsuchen,durchsuchen,VERB,
text1,1,18,dürfen,dürfen,PROPN,
text1,1,19,.,.,PUNCT,
text1,2,1,Das,Das,PROPN,
text1,2,2,schlägt,schlägt,PROPN,
text1,2,3,die,die,VERB,
text1,2,4,dänische,dänische,NOUN,
text1,2,5,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,PERSON_B
text1,2,6,vor,vor,NOUN,
text1,2,7,.,.,PUNCT,
text3,1,1,Seit,Seit,PROPN,
text3,1,2,über,über,PROPN,
text3,1,3,drei,drei,PROPN,
text3,1,4,Jahren,Jahren,PROPN,PERSON_B
text3,1,5,streiten,streiten,NOUN,
text3,1,6,die,die,VERB,
text3,1,7,EU,EU,PROPN,ORG_B
text3,1,8,-,-,PUNCT,
text3,1,9,Institutionen,Institutionen,PROPN,
text3,1,10,über,über,NOUN,
text3,1,11,eine,eine,NOUN,
text3,1,12,verpflichtende,verpflichtende,NOUN,
text3,1,13,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,1,14,.,.,PUNCT,
text3,2,1,Die,die,VERB,
text3,2,2,Kommission,Kommission,PROPN,
text3,2,3,will,will,AUX,
text3,2,4,Internet,Internet,PROPN,
text3,2,5,-,-,PUNCT,
text3,2,6,Dienste,Dienste,PROPN,
text3,2,7,verpflichten,verpflichten,NOUN,
text3,2,8,",",",",PUNCT,
text3,2,9,die,die,VERB,
text3,2,10,Inhalte,Inhalte,PROPN,NORP_B
text3,2,11,ihrer,ihrer,NOUN,
text3,2,12,Nutzer,Nutzer,PROPN,ORG_B
text3,2,13,auf,auf,PROPN,
text3,2,14,Straftaten,Straftaten,PROPN,
text3,2,15,zu,zu,NOUN,
text3,2,16,durchsuchen,durchsuchen,NOUN,
text3,2,17,und,und,VERB,
text3,2,18,diese,diese,ADJ,NORP_B
text3,2,19,bei,bei,NOUN,
text3,2,20,Verdacht,Verdacht,PROPN,PERSON_B
text3,2,21,an,an,DET,
text3,2,22,Behörden,Behörden,PROPN,GPE_B
text3,2,23,zu,zu,NOUN,
text3,2,24,schicken,schicken,NOUN,
text3,2,25,.,.,PUNCT,
text3,3,1,Das,Das,PROPN,ORG_B
text3,3,2,Parlament,Parlament,PROPN,ORG_I
text3,3,3,bezeichnet,bezeichnet,NOUN,
text3,3,4,das,das,PROPN,
text3,3,5,als,al,NOUN,
text3,3,6,Massenüberwachung,Massenüberwachung,PROPN,PERSON_B
text3,3,7,und,und,PROPN,
text3,3,8,fordert,fordert,NOUN,
text3,3,9,",",",",PUNCT,
text3,3,10,nur,nur,VERB,
text3,3,11,unverschlüsselte,unverschlüsselte,ADJ,
text3,3,12,Inhalte,Inhalte,PROPN,PERSON_B
text3,3,13,von,von,PROPN,PERSON_I
text3,3,14,Verdächtigen,Verdächtigen,PROPN,PERSON_I
text3,3,15,zu,zu,PROPN,PERSON_I
text3,3,16,scannen,scannen,NOUN,PERSON_I
text3,3,17,.,.,PUNCT,
text5,1,1,#,#,SYM,
text5,1,2,#,#,NOUN,
text5,1,3,Keine,Keine,PROPN,PERSON_B
text5,1,4,Verpflichtung,Verpflichtung,PROPN,PERSON_I
text7,1,1,I,I,PRON,
text7,1,2,m,m,VERB,
text7,1,3,Rat,Rat,PROPN,
text7,1,4,ist,ist,NOUN,
text7,1,5,bisher,bisher,PROPN,
text7,1,6,kein,kein,PROPN,PERSON_B
text7,1,7,Vorschlag,Vorschlag,PROPN,PERSON_I
text7,1,8,zustimmungsfähig,zustimmungsfähig,PROPN,
text7,1,9,.,.,PUNCT,
text7,2,1,Auch,auch,ADJ,
text7,2,2,der,der,NOUN,
text7,2,3,bislang,bislang,PROPN,
text7,2,4,letzte,letzte,PROPN,
text7,2,5,Versuch,Versuch,PROPN,
text7,2,6,scheiterte,scheiterte,PROPN,
text7,2,7,",",",",PUNCT,
text7,2,8,unter,unter,NOUN,PERSON_B
text7,2,9,anderem,anderem,NOUN,PERSON_I
text7,2,10,wegen,wegen,NOUN,
text7,2,11,Widerstand,Widerstand,PROPN,GPE_B
text7,2,12,aus,aus,X,
text7,2,13,Deutschland,Deutschland,PROPN,GPE_B
text7,2,14,.,.,PUNCT,
text7,3,1,Gestern,gestern,ADJ,ORG_B
text7,3,2,hat,hat,NOUN,
text7,3,3,Dänemark,Dänemark,PROPN,PERSON_B
text7,3,4,einen,einen,NOUN,
text7,3,5,neuen,neuen,NOUN,
text7,3,6,Vorschlag,Vorschlag,PROPN,ORG_B
text7,3,7,verschickt,verschickt,NOUN,
text7,3,8,.,.,PUNCT,
text9,1,1,In,in,ADP,
text9,1,2,einem,einem,PROPN,
text9,1,3,Schreiben,Schreiben,PROPN,PERSON_B
text9,1,4,",",",",PUNCT,
text9,1,5,das,das,PROPN,ORG_B
text9,1,6,wir,wir,NOUN,
text9,1,7,aus,aus,PROPN,
text9,1,8,Quellenschutzgründen,Quellenschutzgründen,PROPN,GPE_B
text9,1,9,derzeit,derzeit,ADJ,PRODUCT_B
text9,1,10,nicht,nicht,PROPN,PRODUCT_I
text9,1,11,veröffentlichen,veröffentlichen,PROPN,
text9,1,12,können,können,PROPN,
text9,1,13,",",",",PUNCT,
text9,1,14,schreibt,schreibt,NOUN,
text9,1,15,Dänemark,Dänemark,PROPN,PERSON_B
text9,1,16,:,:,PUNCT,
text9,1,17,„,„,PUNCT,
text9,1,18,Dieser,Dieser,PROPN,
text9,1,19,Ansatz,Ansatz,PROPN,PRODUCT_B
text9,1,20,sieht,sieht,NOUN,
text9,1,21,keine,keine,NOUN,
text9,1,22,Aufdeckungsanordnungen,Aufdeckungsanordnungen,PROPN,PERSON_B
text9,1,23,vor,vor,NOUN,
text9,1,24,",",",",PUNCT,
text9,1,25,sondern,sondern,ADJ,
text9,1,26,behält,behält,NOUN,
text9,1,27,die,die,VERB,
text9,1,28,freiwillige,freiwillige,NOUN,
text9,1,29,Regelung,Regelung,PROPN,GPE_B
text9,1,30,für,für,NOUN,
text9,1,31,Technologieunternehmen,Technologieunternehmen,PROPN,GPE_B
text9,1,32,zur,zur,PROPN,PERSON_B
