doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,
text1,1,2,sogenannte,sogenannte,NOUN,
text1,1,3,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,4,könnte,könnte,NOUN,
text1,1,5,womöglich,womöglich,PROPN,
text1,1,6,nur,nur,PROPN,
text1,1,7,ein,ein,PROPN,
text1,1,8,erster,erster,NOUN,
text1,1,9,Schritt,Schritt,PROPN,PERSON_B
text1,1,10,sein,sein,PROPN,
text1,1,11,",",",",PUNCT,
text1,1,12,mit,mit,VERB,
text1,1,13,der,der,PROPN,
text1,1,14,die,die,VERB,
text1,1,15,EU,EU,PROPN,ORG_B
text1,1,16,-,-,PUNCT,ORG_I
text1,1,17,Kommission,Kommission,PROPN,ORG_I
text1,1,18,stückweise,stückweise,VERB,
text1,1,19,verschlüsselte,verschlüsselte,PROPN,
text1,1,20,Kommunikation,Kommunikation,PROPN,ORG_B
text1,1,21,anzugreifen,anzugreifen,PROPN,
text1,1,22,versucht,versucht,NOUN,
text1,1,23,.,.,PUNCT,
text1,2,1,Langfristig,Langfristig,PROPN,GPE_B
text1,2,2,könnten,könnten,VERB,
text1,2,3,etwa,etwa,ADJ,
text1,2,4,zwischengeschaltete,zwischengeschaltete,NOUN,
text1,2,5,Server,Server,PROPN,
text1,2,6,in,in,ADP,
text1,2,7,die,die,NOUN,
text1,2,8,Inhalte,Inhalte,PROPN,PERSON_B
text1,2,9,von,von,PROPN,PERSON_I
text1,2,10,Nachrichten,Nachrichten,PROPN,PERSON_I
text1,2,11,hineinschauen,hineinschauen,PROPN,PERSON_I
text1,2,12,",",",",PUNCT,
text1,2,13,um,um,INTJ,
text1,2,14,Darstellungen,Darstellungen,PROPN,ORG_B
text1,2,15,von,von,PROPN,ORG_I
text1,2,16,Kindesmissbrauch,Kindesmissbrauch,PROPN,ORG_I
text1,2,17,oder,oder,NOUN,
text1,2,18,sonstige,sonstige,VERB,
text1,2,19,illegale,illegale,NOUN,
text1,2,20,Inhalte,Inhalte,PROPN,NORP_B
text1,2,21,aufzuspüren,aufzuspüren,PROPN,
text1,2,22,.,.,PUNCT,
text1,3,1,Das,Das,PROPN,
text1,3,2,geht,geht,NOUN,ORG_B
