doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Während,während,VERB,
text1,1,2,der,der,PROPN,PERSON_B
text1,1,3,Rat,Rat,PROPN,PERSON_I
text1,1,4,der,der,PROPN,PERSON_I
text1,1,5,EU,EU,PROPN,ORG_B
text1,1,6,-,-,PUNCT,
text1,1,7,Mitgliedstaaten,Mitgliedstaaten,PROPN,GPE_B
text1,1,8,noch,noch,ADJ,
text1,1,9,um,um,INTJ,
text1,1,10,eine,eine,NOUN,
text1,1,11,gemeinsame,gemeinsame,PROPN,
text1,1,12,Position,Position,PROPN,
text1,1,13,ringt,ringt,NOUN,
text1,1,14,",",",",PUNCT,
text1,1,15,zeichnet,zeichnet,PROPN,
text1,1,16,sich,sich,PROPN,
text1,2,1,i,I,PRON,
text1,2,2,m,m,VERB,
text1,2,3,EU,EU,PROPN,ORG_B
text1,2,4,-,-,PUNCT,ORG_I
text1,2,5,Parlament,parlament,ADJ,ORG_I
text1,2,6,eine,eine,NOUN,
text1,2,7,Einigung,Einigung,PROPN,ORG_B
text1,2,8,über,über,NOUN,
text1,2,9,die,die,PROPN,
text1,2,10,Verordnung,Verordnung,PROPN,PERSON_B
text1,2,11,zur,zur,PROPN,PERSON_I
text1,2,12,„,„,PUNCT,PERSON_I
text1,2,13,Bekämpfung,Bekämpfung,PROPN,PERSON_I
text1,2,14,des,des,X,PERSON_I
text1,2,15,sexuellen,sexuellen,NOUN,PERSON_I
text1,2,16,Missbrauchs,Missbrauchs,PROPN,PERSON_B
text1,2,17,von,von,PROPN,PERSON_I
text1,2,18,Kindern,Kindern,PROPN,PERSON_I
text1,2,19,“,"""",PUNCT,PERSON_I
text1,2,20,ab,ab,PROPN,PERSON_I
text1,2,21,.,.,PUNCT,
text1,3,1,Die,die,VERB,
text1,3,2,Berichterstatter,Berichterstatter,PROPN,
text1,3,3,aus,aus,PROPN,ORG_B
text1,3,4,dem,dem,PROPN,ORG_I
text1,3,5,federführenden,federführenden,ADJ,
text1,4,1,Ausschuss,Ausschuss,PROPN,
text1,4,2,für,für,NOUN,
text1,4,3,Justiz,Justiz,PROPN,PERSON_B
text1,4,4,und,und,VERB,
text1,4,5,bürgerliche,bürgerliche,NOUN,
text1,4,6,Freiheiten,Freiheiten,PROPN,PERSON_B
text1,4,7,(,(,PUNCT,
text1,4,8,LIBE,LIBE,PROPN,
text1,4,9,),),PUNCT,
text1,4,10,haben,haben,NOUN,
text1,4,11,sich,sich,PROPN,
text1,4,12,nun,nun,PROPN,
text1,4,13,auf,auf,PROPN,
text1,4,14,einen,einen,NOUN,
text1,5,1,Text,Text,PROPN,
text1,5,2,geeinigt,geeinigt,NOUN,
text1,5,3,",",",",PUNCT,
text1,5,4,der,der,PROPN,PERSON_B
text1,5,5,mehrere,mehrere,NOUN,PERSON_I
text1,5,6,umstrittene,umstrittene,NOUN,
text1,5,7,Teile,Teile,PROPN,ORG_B
text1,5,8,des,des,X,ORG_I
text1,5,9,Kommissionsentwurfs,Kommissionsentwurfs,PROPN,ORG_I
text1,5,10,deutlich,deutlich,VERB,
text1,5,11,entschärft,entschärft,ADV,
text1,5,12,.,.,PUNCT,
text1,6,1,Euractiv,Euractiv,PROPN,PERSON_B
text1,6,2,hat,hat,PROPN,
text1,6,3,zuerst,zuerst,PROPN,
text1,6,4,darüber,darüber,PROPN,
text1,6,5,berichtet,berichtet,PROPN,
text1,6,6,.,.,PUNCT,
text3,1,1,Kritiker,Kritiker,PROPN,
text3,1,2,:,:,PUNCT,
text3,1,3,innen,innen,NOUN,
text3,1,4,hatten,hatten,VERB,
text3,1,5,dem,dem,DET,
text3,1,6,Gesetzvorschlag,Gesetzvorschlag,PROPN,PERSON_B
text3,1,7,den,den,VERB,
text3,1,8,Namen,Namen,PROPN,PERSON_B
text3,1,9,Chatkontrolle,Chatkontrolle,PROPN,PERSON_I
text3,1,10,gegeben,gegeben,PROPN,PERSON_I
text3,1,11,",",",",PUNCT,
text3,1,12,weil,weil,PROPN,
text3,1,13,die,die,PROPN,
text3,1,14,Kommission,Kommission,PROPN,PERSON_B
text3,1,15,plante,plante,NOUN,PERSON_I
text3,1,16,",",",",PUNCT,
text3,1,17,dass,dass,PROPN,
text3,1,18,Anbieter,Anbieter,PROPN,PERSON_B
text3,1,19,von,von,PROPN,PERSON_I
text3,1,20,Kommunikations-,Kommunikations-,PROPN,PERSON_I
text3,2,1,und,und,VERB,
text3,2,2,Hostingdiensten,Hostingdiensten,PROPN,
text3,2,3,auf,auf,PROPN,
text3,2,4,Anordnung,Anordnung,PROPN,PERSON_B
text3,2,5,die,die,VERB,
text3,2,6,Inhalte,Inhalte,PROPN,
text3,2,7,ihrer,ihrer,NOUN,
text3,2,8,Nutzenden,Nutzenden,PROPN,PERSON_B
text3,2,9,nach,nach,VERB,
text3,2,10,Hinweisen,Hinweisen,PROPN,PERSON_B
text3,2,11,auf,auf,PROPN,
text3,2,12,Darstellungen,Darstellungen,PROPN,ORG_B
text3,2,13,sexualisierter,sexualisierter,NOUN,
text3,2,14,Gewalt,Gewalt,PROPN,PERSON_B
text3,2,15,gegen,gegen,NOUN,
text3,2,16,Kinder,Kinder,PROPN,
text3,2,17,und,und,PROPN,
text3,2,18,Anbahnungsversuche,Anbahnungsversuche,PROPN,ORG_B
text3,2,19,scannen,scannen,NOUN,
text3,2,20,müssen,müssen,PROPN,
text3,2,21,.,.,PUNCT,
text5,1,1,Diese,diese,ADJ,NORP_B
text5,1,2,weitreichenden,weitreichenden,NOUN,
text5,1,3,Aufdeckungsanordnungen,Aufdeckungsanordnungen,PROPN,ORG_B
text5,1,4,will,will,AUX,
text5,1,5,der,der,VERB,
text5,1,6,LIBE,LIBE,PROPN,ORG_B
text5,1,7,-,-,PUNCT,ORG_I
text5,1,8,Text,Text,PROPN,ORG_I
text5,1,9,einschränken,einschränken,VERB,
text5,1,10,.,.,PUNCT,
text5,2,1,Sie,Sie,PROPN,
text5,2,2,sollen,sollen,NOUN,
text5,2,3,nur,nur,VERB,
text5,2,4,noch,noch,PROPN,
text5,2,5,für,für,PROPN,
text5,2,6,einzelne,einzelne,PROPN,
text5,2,7,oder,oder,PROPN,
text5,2,8,eine,eine,NOUN,
text5,2,9,spezifische,spezifische,NOUN,
text5,2,10,Gruppe,Gruppe,PROPN,PERSON_B
text5,2,11,von,von,PROPN,PERSON_I
text5,2,12,Nutzenden,Nutzenden,PROPN,PERSON_I
text5,2,13,–,–,PUNCT,
text5,2,14,etwa,etwa,NOUN,
text5,2,15,bei,bei,NOUN,
text5,2,16,Chatgruppen,Chatgruppen,PROPN,
text5,2,17,–,–,PUNCT,
text5,2,18,möglich,möglich,PROPN,
text5,2,19,sein,sein,PROPN,
text5,2,20,.,.,PUNCT,
text5,3,1,Also,also,ADV,
text5,3,2,nicht,nicht,PROPN,
text5,3,3,mehr,mehr,PROPN,
text5,3,4,für,für,PROPN,
text5,3,5,alle,alle,PROPN,
text5,3,6,",",",",PUNCT,
text5,3,7,die,die,VERB,
text5,3,8,einen,einen,NOUN,
text5,3,9,Dienst,Dienst,PROPN,PERSON_B
text5,3,10,nutzen,nutzen,NOUN,
text5,3,11,",",",",PUNCT,
text5,3,12,für,für,PROPN,
text5,3,13,den,den,VERB,
text5,3,14,ein,ein,PROPN,
text5,3,15,Missbrauchsrisiko,Missbrauchsrisiko,PROPN,PERSON_B
text5,3,16,festgestellt,festgestellt,ADJ,PERSON_B
text5,3,17,wurde,wurde,PROPN,PERSON_I
text5,3,18,.,.,PUNCT,
text5,4,1,Für,für,NOUN,
text5,4,2,derartige,derartige,NOUN,
text5,4,3,Anordnungen,Anordnungen,PROPN,
text5,4,4,soll,soll,PROPN,PERSON_B
text5,4,5,außerdem,außerdem,PROPN,PERSON_I
text5,4,6,ein,ein,PROPN,
text5,4,7,begründeter,begründeter,NOUN,
text5,4,8,Verdacht,Verdacht,PROPN,PERSON_B
text5,4,9,vorliegen,vorliegen,NOUN,
text5,4,10,müssen,müssen,NOUN,
text5,4,11,",",",",PUNCT,
text5,4,12,dass,dass,NOUN,
text5,4,13,eine,eine,NOUN,
text5,4,14,Verbindung,Verbindung,PROPN,PERSON_B
text5,4,15,zu,zu,PROPN,PERSON_I
text5,4,16,Missbrauchsmaterial,Missbrauchsmaterial,PROPN,PERSON_I
text5,4,17,besteht,besteht,NOUN,
text5,4,18,.,.,PUNCT,
text7,1,1,#,#,SYM,
text7,1,2,#,#,NOUN,
text7,1,3,Nur,Nur,PROPN,
text7,1,4,mit,mit,NOUN,
text7,1,5,richterlicher,richterlicher,NOUN,
text7,1,6,Bestätigung,Bestätigung,PROPN,PERSON_B
text9,1,1,Dann,Dann,PROPN,
text9,1,2,müssten,müssten,VERB,
text9,1,3,die,die,VERB,
text9,1,4,Anordnungen,Anordnungen,PROPN,
text9,1,5,zusätzlich,zusätzlich,NOUN,
text9,1,6,",",",",PUNCT,
text9,1,7,so,so,ADV,
text9,1,8,der,der,PROPN,
text9,1,9,LIBE,LIBE,PROPN,ORG_B
text9,1,10,-,-,PUNCT,ORG_I
text9,1,11,Text,Text,PROPN,ORG_I
text9,1,12,",",",",PUNCT,
text9,1,13,gerichtlich,gerichtlich,NOUN,
text9,1,14,bestätigt,bestätigt,PROPN,
text9,1,15,werden,werden,PROPN,
text9,1,16,.,.,PUNCT,
text9,2,1,Es,es,INTJ,
text9,2,2,gibt,gibt,NOUN,
text9,2,3,also,also,ADV,
text9,2,4,einen,einen,NOUN,
text9,2,5,Richtervorbehalt,richtervorbehalt,NOUN,
text9,2,6,.,.,PUNCT,
text9,3,1,Auch,auch,ADJ,
text9,3,2,hier,hi,ADJ,
text9,3,3,besteht,besteht,PROPN,
text9,3,4,ein,ein,PROPN,
text9,3,5,Unterschied,Unterschied,PROPN,
text9,3,6,zum,zum,PROPN,PERSON_B
text9,3,7,Kommissionsentwurf,Kommissionsentwurf,PROPN,PERSON_I
text9,3,8,.,.,PUNCT,
text9,4,1,Der,Der,PROPN,PERSON_B
text9,4,2,ließ,ließ,NOUN,
text9,4,3,offen,offen,PROPN,
text9,4,4,",",",",PUNCT,
text9,4,5,ob,ob,DET,
text9,4,6,eine,eine,NOUN,
text9,4,7,nationale,nationale,NOUN,
text9,4,8,Verwaltungsbehörde,Verwaltungsbehörde,PROPN,PERSON_B
text9,4,9,oder,oder,NOUN,
text9,4,10,ein,ein,NOUN,
text9,4,11,Gericht,Gericht,PROPN,PERSON_B
text9,4,12,eine,eine,NOUN,
text9,4,13,Anordnung,Anordnung,PROPN,PERSON_B
text9,4,14,bestätigt,bestätigt,PROPN,
text9,4,15,.,.,PUNCT,
text11,1,1,Eine,eine,NOUN,
text11,1,2,der,der,NOUN,
text11,1,3,größten,größten,VERB,
text11,1,4,Sorgen,Sorgen,PROPN,ORG_B
text11,1,5,von,von,PROPN,
text11,1,6,IT,IT,PROPN,
text11,1,7,-,-,PUNCT,
text11,1,8,Sicherheitsexpert,Sicherheitsexpert,PROPN,
text11,1,9,:,:,PUNCT,
text11,1,10,innen,innen,NOUN,
text11,1,11,",",",",PUNCT,
text11,1,12,Bürgerrechtsorganisationen,Bürgerrechtsorganisationen,PROPN,PERSON_B
text11,1,13,und,und,PROPN,
text11,1,14,Datenschützer,Datenschützer,PROPN,PERSON_B
text11,1,15,:,:,PUNCT,
text11,1,16,innen,innen,NOUN,
text11,1,17,bei,bei,PROPN,
text11,1,18,der,der,PROPN,
text11,1,19,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text11,1,20,ist,ist,ADP,
text11,1,21,das,das,PROPN,PERSON_B
text11,1,22,Scannen,Scannen,PROPN,PERSON_I
text11,1,23,verschlüsselter,verschlüsselter,NOUN,PERSON_I
text11,1,24,Kommunikation,Kommunikation,PROPN,PERSON_I
text11,1,25,.,.,PUNCT,
text11,2,1,Dem,dem,ADJ,
text11,2,2,begegnet,begegnet,NOUN,
text11,2,3,der,der,NOUN,
text11,2,4,Parlamentsausschuss,Parlamentsausschuss,PROPN,ORG_B
text11,2,5,",",",",PUNCT,
text11,2,6,indem,indem,ADJ,
text11,2,7,er,er,INTJ,
text11,2,8,Kommunikation,Kommunikation,PROPN,
text11,2,9,ausnimmt,ausnimmt,PROPN,
text11,2,10,",",",",PUNCT,
text11,2,11,„,„,PUNCT,
text11,2,12,bei,bei,PROPN,
text11,2,13,der,der,PROPN,
text11,2,14,eine,eine,NOUN,
text11,2,15,Ende,Ende,PROPN,ORG_B
text11,2,16,-,-,PUNCT,ORG_I
text11,2,17,zu,zu,PROPN,ORG_I
text11,2,18,-,-,PUNCT,ORG_I
text11,2,19,Ende,ende,ADJ,ORG_I
text11,2,20,-,-,PUNCT,ORG_I
text11,2,21,Verschlüsselung,Verschlüsselung,PROPN,ORG_I
text11,2,22,eingesetzt,eingesetzt,NOUN,
text11,2,23,oder,oder,PROPN,
text11,2,24,angewendet,angewendet,PROPN,
text11,2,25,wird,wird,PROPN,
text11,2,26,oder,oder,PROPN,
text11,2,27,wurde,wurde,PROPN,
text11,2,28,“,"""",PUNCT,
text11,2,29,.,.,PUNCT,
text11,3,1,Das,Das,PROPN,
text11,3,2,heißt,heißt,NOUN,
text11,3,3,:,:,PUNCT,
text11,4,1,Wer,wer,ADJ,
text11,4,2,zum,zum,NOUN,
text11,4,3,Beispiel,Beispiel,PROPN,
text11,4,4,Ende,Ende,PROPN,
text11,4,5,-,-,PUNCT,
text11,4,6,zu,zu,PROPN,
text11,4,7,-,-,PUNCT,
text11,4,8,Ende,ende,ADJ,
text11,4,9,-,-,PUNCT,
text11,4,10,verschlüsselt,verschlüsselt,NOUN,
text11,4,11,mit,mit,NOUN,
text11,4,12,WhatsApp,WhatsApp,PROPN,ORG_B
text11,4,13,",",",",PUNCT,
text11,4,14,Signal,Signal,PROPN,ORG_B
text11,4,15,oder,oder,NOUN,
text11,4,16,Threema,Threema,PROPN,PERSON_B
text11,4,17,kommuniziert,kommuniziert,PROPN,PERSON_I
text11,4,18,",",",",PUNCT,
text11,4,19,soll,soll,PROPN,PERSON_B
text11,4,20,dem,dem,PROPN,PERSON_I
text11,4,21,Ausschuss,Ausschuss,PROPN,
text11,4,22,zufolge,zufolge,NOUN,
text11,4,23,nicht,nicht,NOUN,
text11,4,24,per,per,ADP,
text11,4,25,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text11,4,26,überwacht,überwacht,NOUN,
text11,4,27,werden,werden,PROPN,
text11,4,28,dürfen,dürfen,PROPN,
text11,4,29,.,.,PUNCT,
text13,1,1,Das,Das,PROPN,
text13,1,2,schiebt,schiebt,NOUN,
text13,1,3,auch,auch,NOUN,
text13,1,4,dem,dem,ADV,NORP_B
text13,1,5,befürchteten,befürchteten,ADJ,
text13,1,6,Client,Client,PROPN,
text13,1,7,-,-,PUNCT,
text13,1,8,Side,Side,PROPN,
text13,1,9,-,-,PUNCT,
text13,1,10,Scanning,scanning,NOUN,
text13,1,11,einen,einen,NOUN,
text13,1,12,Riegel,Riegel,PROPN,PERSON_B
text13,1,13,vor,vor,NOUN,
text13,1,14,.,.,PUNCT,
text13,2,1,Dabei,Dabei,NOUN,
text13,2,2,ließe,ließe,VERB,
text13,2,3,sich,sich,ADP,
text13,2,4,Verschlüsselung,Verschlüsselung,PROPN,ORG_B
text13,2,5,umgehen,umgehen,ADV,
text13,2,6,",",",",PUNCT,
text13,2,7,indem,indem,NOUN,ORG_B
text13,2,8,Inhalte,Inhalte,PROPN,NORP_B
text13,2,9,auf,auf,PROPN,
text13,2,10,den,den,VERB,
text13,2,11,Geräten,Geräten,PROPN,PERSON_B
text13,2,12,gescannt,gescannt,PROPN,
text13,2,13,werden,werden,NOUN,
text13,2,14,",",",",PUNCT,
text13,2,15,bevor,bevor,VERB,
text13,2,16,sie,sie,PROPN,
text13,2,17,etwa,etwa,NOUN,
text13,2,18,beim,beim,ADP,
text13,2,19,Versenden,Versenden,PROPN,GPE_B
text13,2,20,einer,einer,NOUN,
text13,2,21,Chatnachricht,Chatnachricht,PROPN,PERSON_B
text13,2,22,Ende,Ende,PROPN,PERSON_I
text13,2,23,-,-,PUNCT,PERSON_I
text13,2,24,zu,zu,PROPN,PERSON_I
text13,2,25,-,-,PUNCT,PERSON_I
text13,2,26,Ende,ende,ADJ,PERSON_I
text13,2,27,-,-,PUNCT,
text13,2,28,verschlüsselt,verschlüsselt,NOUN,
text13,2,29,werden,werden,NOUN,
text13,2,30,.,.,PUNCT,
text15,1,1,Eine,eine,NOUN,
text15,1,2,weitere,weitere,ADJ,
text15,1,3,Einschränkung,Einschränkung,PROPN,GPE_B
text15,1,4,will,will,AUX,
text15,1,5,der,der,PROPN,
text15,1,6,LIBE,LIBE,PROPN,ORG_B
text15,1,7,-,-,PUNCT,ORG_I
text15,1,8,Ausschuss,ausschuss,ADJ,ORG_I
text15,1,9,bei,bei,NOUN,
text15,1,10,der,der,PROPN,
text15,1,11,Art,Art,PROPN,ORG_B
text15,1,12,des,des,PROPN,ORG_I
text15,1,13,Materials,Materials,PROPN,ORG_I
text15,1,14,",",",",PUNCT,
text15,1,15,nach,nach,VERB,
text15,1,16,dem,dem,PROPN,NORP_B
text15,1,17,Anbieter,Anbieter,PROPN,PERSON_B
text15,1,18,suchen,suchen,PROPN,
text15,1,19,sollen,sollen,NOUN,
text15,1,20,:,:,PUNCT,
text15,1,21,Ursprünglich,Ursprünglich,PROPN,GPE_B
text15,1,22,bezogen,bezogen,NOUN,
text15,1,23,sich,sich,PRON,
text15,1,24,die,die,VERB,
text15,1,25,vorgeschlagenen,vorgeschlagenen,NOUN,
text15,1,26,Maßnahmen,Maßnahmen,PROPN,ORG_B
text15,1,27,auf,auf,PROPN,
text15,1,28,bekannte,bekannte,PROPN,
text15,1,29,und,und,PROPN,
text15,1,30,neue,neue,PROPN,
text15,1,31,Darstellungen,Darstellungen,PROPN,ORG_B
text15,1,32,von,von,PROPN,ORG_I
text15,1,33,Missbrauch,Missbrauch,PROPN,ORG_I
text15,1,34,sowie,sowie,VERB,
text15,1,35,auf,auf,PROPN,
text15,1,36,Grooming,Grooming,PROPN,PERSON_B
text15,1,37,.,.,PUNCT,
text15,2,1,Bei,Bei,PROPN,
text15,2,2,Letzterem,letzterem,ADJ,PERSON_B
text15,2,3,bahnen,bahnen,NOUN,
text15,2,4,Erwachsene,Erwachsene,PROPN,PERSON_B
text15,2,5,Kontakt,Kontakt,PROPN,PERSON_I
text15,2,6,zu,zu,PROPN,PERSON_B
text15,2,7,Minderjährigen,Minderjährigen,PROPN,PERSON_I
text15,2,8,an,an,PRON,
text15,2,9,",",",",PUNCT,
text15,2,10,um,um,INTJ,
text15,2,11,sie,sie,PROPN,
text15,2,12,anschließend,anschließend,VERB,
text15,2,13,etwa,etwa,NOUN,
text15,2,14,nach,nach,VERB,
text15,2,15,Nacktaufnahmen,Nacktaufnahmen,PROPN,GPE_B
text15,2,16,zu,zu,PROPN,
text15,2,17,fragen,fragen,NOUN,
text15,2,18,.,.,PUNCT,
text15,3,1,Ginge,Ginge,PROPN,
text15,3,2,es,es,X,
text15,3,3,nach,nach,PROPN,
text15,3,4,den,den,PROPN,
text15,3,5,LIBE,LIBE,PROPN,ORG_B
text15,3,6,-,-,PROPN,ORG_I
text15,3,7,Berichterstattern,Berichterstattern,PROPN,ORG_I
text15,3,8,",",",",PUNCT,
text15,3,9,würde,würde,NOUN,
text15,3,10,die,die,VERB,
text15,3,11,Grooming,Grooming,PROPN,PERSON_B
text15,3,12,-,-,PUNCT,PERSON_I
text15,3,13,Erkennung,Erkennung,PROPN,PERSON_I
text15,3,14,aus,au,VERB,
text15,3,15,dem,dem,PROPN,NORP_B
text15,3,16,Gesetzestext,Gesetzestext,PROPN,PERSON_B
text15,3,17,verschwinden,verschwinden,PROPN,
text15,3,18,.,.,PUNCT,
text17,1,1,#,#,SYM,MONEY_B
text17,1,2,#,#,NOUN,MONEY_I
text17,1,3,Andere,Andere,PROPN,MONEY_I
text17,1,4,Schutzmaßnahmen,Schutzmaßnahmen,PROPN,
text17,2,1,i,I,PRON,
text17,2,2,m,m,VERB,
text17,2,3,Fokus,Fokus,PROPN,PERSON_B
text19,1,1,Dafür,dafür,ADJ,
text19,1,2,wollen,wollen,NOUN,
text19,1,3,sie,sie,PROPN,
text19,1,4,Anbieter,Anbieter,PROPN,PERSON_B
text19,1,5,mehr,mehr,NOUN,
text19,1,6,Pflichten,Pflichten,PROPN,PERSON_B
