doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,
text1,1,2,Anfang,Anfang,PROPN,
text1,1,3,April,April,PROPN,DATE_B
text1,1,4,vorgestellte,vorgestellte,VERB,
text1,2,1,EU,EU,PROPN,ORG_B
text1,2,2,-,-,PUNCT,ORG_I
text1,2,3,Strategie,Strategie,PROPN,ORG_I
text1,2,4,zur,zur,PROPN,
text1,2,5,inneren,inneren,PROPN,
text1,2,6,Sicherheit,Sicherheit,PROPN,GPE_B
text1,2,7,",",",",PUNCT,
text1,2,8,ProtectEU,ProtectEU,PROPN,
text1,2,9,",",",",PUNCT,
text1,2,10,ruft,ruft,PROPN,
text1,2,11,zivilgesellschaftliche,zivilgesellschaftliche,PROPN,PERSON_B
text1,2,12,Organisationen,Organisationen,PROPN,PERSON_I
text1,2,13,auf,auf,PROPN,
text1,2,14,den,den,NOUN,
text1,2,15,Plan,Plan,PROPN,
text1,2,16,.,.,PUNCT,
text1,3,1,In,in,ADP,
text1,3,2,einem,einem,PROPN,
text1,3,3,offenen,offenen,NOUN,
text1,3,4,Brief,Brief,PROPN,
text1,3,5,an,an,DET,
text1,3,6,EU,EU,PROPN,ORG_B
text1,3,7,-,-,PUNCT,
text1,3,8,Digitalkommissarin,Digitalkommissarin,PROPN,
text1,3,9,Henna,Henna,PROPN,
text1,3,10,Virkkunen,Virkkunen,PROPN,PERSON_B
text1,3,11,fordern,fordern,PROPN,
text1,3,12,sie,sie,PROPN,
text1,3,13,",",",",PUNCT,
text1,3,14,dass,dass,NOUN,
text1,3,15,künftig,künftig,PROPN,
text1,3,16,auch,auch,PROPN,
text1,3,17,Wissenschaftler,Wissenschaftler,PROPN,PERSON_B
text1,3,18,:,:,PUNCT,
text1,3,19,innen,innen,NOUN,
text1,3,20,",",",",PUNCT,
text1,3,21,unabhängige,unabhängige,ADJ,
text1,3,22,Tech,Tech,PROPN,ORG_B
text1,3,23,-,-,PUNCT,ORG_I
text1,3,24,Fachleute,Fachleute,PROPN,ORG_I
text1,3,25,",",",",PUNCT,
text1,3,26,Menschenrechts,Menschenrechts,PROPN,ORG_B
text1,3,27,-,-,PUNCT,ORG_I
text1,3,28,Jurist,Jurist,PROPN,ORG_I
text1,3,29,:,:,PUNCT,
text1,3,30,innen,innen,NOUN,
text1,3,31,und,und,NOUN,
text1,3,32,generell,generell,NOUN,
text1,3,33,Menschen,Menschen,PROPN,ORG_B
text1,3,34,aus,aus,PROPN,ORG_I
text1,3,35,der,der,PROPN,
text1,3,36,Zivilgesellschaft,Zivilgesellschaft,PROPN,
text1,3,37,an,an,DET,
text1,3,38,den,den,NOUN,
text1,3,39,weiteren,weiteren,NOUN,
text1,3,40,Diskussionen,Diskussionen,PROPN,
text1,3,41,beteiligt,beteiligt,PROPN,
text1,3,42,werden,werden,PROPN,
text1,3,43,müssen,müssen,PROPN,
text1,3,44,.,.,PUNCT,
text3,1,1,Sorge,Sorge,PROPN,PERSON_B
text3,1,2,bereitet,bereitet,NOUN,
text3,1,3,vor,vor,VERB,
text3,1,4,allem,allem,NOUN,
text3,1,5,der,der,NOUN,PERSON_B
text3,1,6,„,„,PROPN,PERSON_I
text3,1,7,Fahrplan,Fahrplan,PROPN,PERSON_I
text3,1,8,zur,zur,PROPN,
text3,1,9,Entschlüsselung,Entschlüsselung,PROPN,
text3,1,10,“,"""",PUNCT,
text3,1,11,",",",",PUNCT,
text3,1,12,an,an,DET,
text3,1,13,dem,dem,ADJ,NORP_B
text3,1,14,die,die,ADJ,
text3,1,15,EU,EU,PROPN,ORG_B
text3,1,16,-,-,PUNCT,ORG_I
text3,1,17,Kommission,Kommission,PROPN,ORG_I
text3,1,18,derzeit,derzeit,NOUN,
text3,1,19,arbeitet,arbeitet,NOUN,
text3,1,20,.,.,PUNCT,
text3,2,1,Unter,Unter,PROPN,PERSON_B
text3,2,2,anderem,anderem,PROPN,PERSON_I
text3,2,3,gestützt,gestützt,NOUN,
text3,2,4,auf,auf,PROPN,
text3,2,5,Empfehlungen,Empfehlungen,PROPN,ORG_B
text3,2,6,einer,einer,NOUN,
text3,2,7,EU,EU,PROPN,ORG_B
text3,2,8,-,-,PUNCT,ORG_I
text3,2,9,Arbeitsgruppe,Arbeitsgruppe,PROPN,ORG_I
text3,2,10,will,will,AUX,
text3,2,11,sie,sie,VERB,
text3,2,12,bis,bis,ADJ,
text3,2,13,Ende,Ende,PROPN,ORG_B
text3,2,14,des,des,X,ORG_I
text3,2,15,Jahres,Jahres,PROPN,ORG_I
text3,2,16,ausloten,ausloten,VERB,
text3,2,17,",",",",PUNCT,
text3,2,18,ob,ob,X,
text3,2,19,und,und,PROPN,
text3,2,20,wie,wie,NOUN,
text3,2,21,Ermittlungsbehörden,Ermittlungsbehörden,PROPN,ORG_B
text3,2,22,Zugang,Zugang,PROPN,ORG_I
text3,2,23,zu,zu,NOUN,
text3,2,24,verschlüsselten,verschlüsselten,NOUN,
text3,2,25,Inhalten,Inhalten,PROPN,
text3,2,26,erhalten,erhalten,ADJ,
text3,2,27,können,können,NOUN,
text3,2,28,.,.,PUNCT,
text5,1,1,Polizeien,polizeien,NOUN,
text5,1,2,betonen,betonen,NOUN,PERSON_B
text5,1,3,seit,seit,NOUN,PERSON_I
text5,1,4,Jahren,Jahren,PROPN,PERSON_I
text5,1,5,",",",",PUNCT,
text5,1,6,dass,dass,PROPN,
text5,1,7,sie,sie,PROPN,
text5,1,8,ohne,ohne,PROPN,
text5,1,9,solche,solche,PROPN,
text5,1,10,Hintertüren,Hintertüren,PROPN,PERSON_B
text5,1,11,blind,blind,ADJ,
text5,1,12,und,und,PROPN,
text5,1,13,taub,taub,PROPN,PERSON_B
text5,1,14,seien,seien,NOUN,PERSON_I
text5,1,15,",",",",PUNCT,
