doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Es,Es,PROPN,
text1,1,2,sollte,sollte,ADJ,
text1,1,3,mein,mein,PROPN,
text1,1,4,erster,erster,NOUN,
text1,1,5,(,(,PUNCT,
text1,1,6,!,!,PUNCT,
text1,1,7,),),PUNCT,
text1,2,1,Außeneinsatz,Außeneinsatz,PROPN,ORG_B
text1,2,2,für,für,NOUN,
text1,2,3,netzpolitik.org,netzpolitik.org,SYM,ORG_B
text1,2,4,werden,werden,NOUN,
text1,2,5,.,.,PUNCT,
text1,3,1,Nachdem,Nachdem,PROPN,ORG_B
text1,3,2,ich,ich,NOUN,
text1,3,3,i,I,PRON,
text1,3,4,m,m,VERB,
text1,3,5,Sommer,Sommer,PROPN,PERSON_B
text1,3,6,2020,2020,NUM,DATE_B
text1,3,7,nach,nach,NOUN,
text1,3,8,Beginn,Beginn,PROPN,PERSON_B
text1,3,9,der,der,NOUN,
text1,3,10,Pandemie,pandemie,NOUN,PERSON_B
text1,3,11,als,al,NOUN,
text1,3,12,Praktikantin,Praktikantin,PROPN,GPE_B
text1,3,13,an,an,DET,
text1,3,14,Bord,Bord,PROPN,PERSON_B
text1,3,15,gekommen,gekommen,VERB,
text1,3,16,war,war,NOUN,
text1,3,17,",",",",PUNCT,
text1,3,18,habe,habe,PROPN,
text1,3,19,ich,ich,NOUN,
text1,3,20,viele,viele,PROPN,
text1,3,21,Artikel,Artikel,PROPN,
text1,3,22,geschrieben,geschrieben,PROPN,
text1,3,23,",",",",PUNCT,
text1,3,24,viele,viele,PROPN,
text1,3,25,Telefonate,Telefonate,PROPN,ORG_B
text1,3,26,und,und,VERB,
text1,3,27,Videokonferenzen,Videokonferenzen,PROPN,GPE_B
text1,3,28,geführt,geführt,NOUN,
text1,3,29,",",",",PUNCT,
text1,3,30,Themen,Themen,PROPN,WORK_OF_ART_B
text1,3,31,recherchiert,recherchiert,NOUN,
text1,3,32,und,und,VERB,
text1,3,33,Presseanfragen,Presseanfragen,PROPN,PERSON_B
text1,3,34,verfasst,verfasst,NOUN,
text1,3,35,.,.,PUNCT,
text1,4,1,Doch,Doch,PROPN,PERSON_B
text1,4,2,noch,noch,PROPN,
text1,4,3,nie,nie,PROPN,
text1,4,4,habe,habe,PROPN,
text1,4,5,ich,ich,PROPN,
text1,4,6,dabei,dabei,VERB,
text1,4,7,meinen,meinen,VERB,
text1,4,8,Schreibtisch,Schreibtisch,PROPN,
text1,4,9,verlassen,verlassen,NOUN,
text1,4,10,.,.,PUNCT,
text1,5,1,Als,Als,PROPN,
text1,5,2,inoffizielle,inoffizielle,NOUN,
text1,5,3,Rhein,Rhein,PROPN,PERSON_B
text1,5,4,-,-,PUNCT,PERSON_I
text1,5,5,Main,Main,PROPN,PERSON_I
text1,5,6,-,-,PUNCT,PERSON_I
text1,5,7,Korrespondentin,Korrespondentin,PROPN,PERSON_I
text1,5,8,war,war,NOUN,
text1,5,9,die,die,VERB,
text1,5,10,Aufregung,Aufregung,PROPN,
text1,5,11,groß,groß,NOUN,
text1,5,12,",",",",PUNCT,
text1,5,13,als,al,NOUN,
text1,5,14,es,es,PROPN,
text1,5,15,für,für,PROPN,
text1,5,16,mich,mich,PROPN,GPE_B
text1,5,17,zur,zur,PROPN,
text1,5,18,BKA,BKA,PROPN,ORG_B
text1,5,19,-,-,PUNCT,
text1,5,20,Herbsttagung,Herbsttagung,PROPN,
text1,5,21,nach,nach,NOUN,
text1,5,22,Wiesbaden,Wiesbaden,PROPN,GPE_B
text1,5,23,gehen,gehen,PROPN,
text1,5,24,sollte,sollte,PROPN,
text1,5,25,.,.,PUNCT,
text1,6,1,Warum,warum,NOUN,
text1,6,2,auch,auch,ADJ,
text1,6,3,nicht,nicht,PROPN,
text1,6,4,",",",",PUNCT,
text1,6,5,ich,ich,NOUN,
text1,6,6,war,war,NOUN,
text1,6,7,schon,schon,PROPN,
text1,6,8,immer,immer,NOUN,
text1,6,9,an,an,DET,
