doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,
text1,1,2,EU,EU,PROPN,
text1,1,3,-,-,PUNCT,
text1,1,4,Institutionen,Institutionen,PROPN,
text1,1,5,wollen,wollen,NOUN,
text1,1,6,Internet,Internet,PROPN,
text1,1,7,-,-,PUNCT,
text1,1,8,Diensten,Diensten,PROPN,
text1,1,9,weiterhin,weiterhin,NOUN,
text1,1,10,erlauben,erlauben,NOUN,
text1,1,11,",",",",PUNCT,
text1,1,12,die,die,VERB,
text1,1,13,Kommunikation,Kommunikation,PROPN,
text1,1,14,ihrer,ihrer,NOUN,
text1,1,15,Nutzer,Nutzer,PROPN,
text1,1,16,freiwillig,freiwillig,NOUN,
text1,1,17,zu,zu,NOUN,
text1,1,18,scannen,scannen,NOUN,
text1,1,19,",",",",PUNCT,
text1,1,20,um,um,INTJ,
text1,1,21,sexuellen,sexuellen,ADJ,
text1,1,22,Missbrauch,Missbrauch,PROPN,PERSON_B
text1,1,23,von,von,PROPN,PERSON_I
text1,1,24,Kindern,Kindern,PROPN,PERSON_I
text1,1,25,zu,zu,NOUN,
text1,1,26,suchen,suchen,ADV,
text1,1,27,.,.,PUNCT,
text3,1,1,Das,Das,PROPN,
text3,1,2,ist,ist,NOUN,
text3,1,3,eigentlich,eigentlich,PROPN,
text3,1,4,verboten,verboten,VERB,
text3,1,5,.,.,PUNCT,
text3,2,1,Die,die,VERB,
text3,2,2,Datenschutzrichtlinie,Datenschutzrichtlinie,PROPN,PERSON_B
text3,2,3,für,für,NOUN,
text3,2,4,elektronische,elektronische,NOUN,
text3,2,5,Kommunikation,Kommunikation,PROPN,PERSON_B
text3,2,6,von,von,PROPN,PERSON_I
text3,2,7,2002,2002,NUM,PERSON_I
text3,2,8,schützt,schützt,VERB,
text3,2,9,die,die,NOUN,
text3,2,10,Vertraulichkeit,Vertraulichkeit,PROPN,ORG_B
text3,2,11,der,der,PROPN,ORG_I
text3,2,12,Kommunikation,Kommunikation,PROPN,ORG_I
text3,2,13,.,.,PUNCT,
text3,3,1,Ein,Ein,PROPN,
text3,3,2,Artikel,Artikel,PROPN,
text3,3,3,verbietet,verbietet,NOUN,
text3,3,4,das,das,PROPN,
text3,3,5,Überwachen,Überwachen,PROPN,PERSON_B
text3,3,6,von,von,PROPN,PERSON_I
text3,3,7,Nachrichten,Nachrichten,PROPN,PERSON_I
text3,3,8,ohne,ohne,NOUN,
text3,3,9,Einwilligung,Einwilligung,PROPN,
text3,3,10,der,der,PROPN,
text3,3,11,betroffenen,betroffenen,PROPN,
text3,3,12,Nutzer,Nutzer,PROPN,ORG_B
text3,3,13,.,.,PUNCT,
text5,1,1,Seit,Seit,PROPN,
text5,1,2,2021,2021,NUM,CARDINAL_B
text5,1,3,gibt,gibt,NOUN,
text5,1,4,es,es,X,
text5,1,5,eine,eine,NOUN,
text5,1,6,„,„,PUNCT,
text5,1,7,vorübergehende,vorübergehende,ADJ,
text5,1,8,Ausnahme,ausnahme,ADJ,
text5,1,9,“,"""",PUNCT,
text5,1,10,der,der,PROPN,
text5,1,11,Vertraulichkeit,Vertraulichkeit,PROPN,ORG_B
text5,1,12,der,der,PROPN,ORG_I
text5,1,13,Kommunikation,Kommunikation,PROPN,ORG_I
text5,1,14,.,.,PUNCT,
text5,2,1,Eine,eine,NOUN,PERSON_B
text5,2,2,Verordnung,Verordnung,PROPN,PERSON_I
text5,2,3,erlaubt,erlaubt,ADJ,
text5,2,4,Internet,internet,NOUN,
text5,2,5,-,-,PUNCT,
text5,2,6,Diensten,Diensten,PROPN,
text5,2,7,",",",",PUNCT,
text5,2,8,die,die,VERB,
text5,2,9,Kommunikation,Kommunikation,PROPN,
text5,2,10,ihrer,ihrer,NOUN,
text5,2,11,Nutzer,Nutzer,PROPN,
text5,2,12,zu,zu,PROPN,
text5,2,13,scannen,scannen,NOUN,
text5,2,14,",",",",PUNCT,
text5,2,15,um,um,INTJ,
text5,2,16,sexuellen,sexuellen,ADJ,
text5,2,17,Missbrauch,Missbrauch,PROPN,PERSON_B
text5,2,18,von,von,PROPN,PERSON_I
text5,2,19,Kindern,Kindern,PROPN,PERSON_I
text5,2,20,zu,zu,NOUN,
text5,2,21,bekämpfen,bekämpfen,NOUN,
text5,2,22,.,.,PUNCT,
text5,3,1,Diese,Diese,PROPN,NORP_B
text5,3,2,Übergangsverordnung,Übergangsverordnung,PROPN,
text5,3,3,war,war,NOUN,
text5,3,4,eigentlich,eigentlich,PROPN,
text5,3,5,auf,auf,PROPN,
text5,3,6,drei,drei,NOUN,
text5,3,7,Jahre,Jahre,PROPN,PERSON_B
text5,3,8,befristet,befristet,NOUN,
text5,3,9,.,.,PUNCT,
text5,4,1,I,I,PRON,
text5,4,2,m,m,VERB,
text5,4,3,April,April,PROPN,DATE_B
text5,4,4,2024,2024,NUM,DATE_I
text5,4,5,wurde,wurde,NOUN,
text5,4,6,die,die,VERB,
text5,5,1,Ausnahme,Ausnahme,PROPN,
text5,5,2,um,um,INTJ,
text5,5,3,zwei,zwei,PROPN,
text5,5,4,Jahre,Jahre,PROPN,PERSON_B
text5,5,5,verlängert,verlängert,NOUN,PERSON_I
text5,5,6,.,.,PUNCT,
