doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Liebe,Liebe,PROPN,ORG_B
text1,1,2,Leser*innen,leser*innen,NOUN,
text1,1,3,",",",",PUNCT,
text3,1,1,als,als,PROPN,
text3,1,2,ich,ich,NOUN,
text3,1,3,vergangene,vergangene,NOUN,
text3,1,4,Woche,Woche,PROPN,ORG_B
text3,1,5,bei,bei,PROPN,
text3,1,6,netzpolitik.org,netzpolitik.org,SYM,
text3,1,7,angefangen,angefangen,NOUN,
text3,1,8,habe,habe,NOUN,
text3,1,9,",",",",PUNCT,
text3,1,10,war,war,NOUN,
text3,1,11,ich,ich,NOUN,
text3,1,12,erst,erst,VERB,
text3,1,13,einmal,einmal,ADJ,
text3,1,14,ein,ein,PROPN,
text3,1,15,wenig,wenig,NOUN,
text3,1,16,überfordert,überfordert,PROPN,
text3,1,17,.,.,PUNCT,
text3,2,1,Ich,Ich,PROPN,
text3,2,2,musste,musste,PROPN,
text3,2,3,ein,ein,PROPN,
text3,2,4,neues,neues,PROPN,
text3,2,5,Betriebssystem,Betriebssystem,PROPN,PERSON_B
text3,2,6,(,(,PUNCT,
text3,2,7,Ubuntu,Ubuntu,PROPN,
text3,2,8,),),PUNCT,
text3,2,9,und,und,VERB,
text3,2,10,einige,einige,NOUN,
text3,2,11,neue,neue,NOUN,
text3,3,1,Anwendungen,Anwendungen,PROPN,GPE_B
text3,3,2,bedienen,bedienen,PROPN,
text3,3,3,und,und,PROPN,
text3,3,4,ein,ein,PROPN,
text3,3,5,paar,paar,NOUN,
text3,3,6,sichere,sichere,ADV,
text3,3,7,Passwörter,Passwörter,PROPN,FAC_B
text3,3,8,auswendig,auswendig,NOUN,
text3,3,9,lernen,lernen,NOUN,
text3,3,10,.,.,PUNCT,
text3,4,1,Hier,Hier,PROPN,PERSON_B
text3,4,2,werden,werden,X,
text3,4,3,Datenschutz,Datenschutz,PROPN,PERSON_B
text3,4,4,und,und,PROPN,
text3,4,5,IT,IT,PROPN,
text3,4,6,-,-,PUNCT,
text3,4,7,Sicherheit,Sicherheit,PROPN,
text3,4,8,wirklich,wirklich,NOUN,
text3,4,9,ernstgenommen,ernstgenomman,NOUN,
text3,4,10,.,.,PUNCT,
text5,1,1,Und,und,ADJ,
text5,1,2,kaum,kaum,NOUN,PERSON_B
text5,1,3,bin,bin,PROPN,PERSON_I
text5,1,4,ich,ich,PROPN,
text5,1,5,an,an,DET,
text5,1,6,Bord,Bord,PROPN,PERSON_B
text5,1,7,",",",",PUNCT,
text5,1,8,steht,steht,VERB,
text5,1,9,auch,auch,ADJ,
text5,1,10,schon,schon,ADJ,
text5,1,11,eine,eine,NOUN,
text5,1,12,netzpolitische,netzpolitische,NOUN,
text5,1,13,Großlage,Großlage,PROPN,PRODUCT_B
text5,1,14,und,und,NOUN,
text5,1,15,elementare,elementare,NOUN,
text5,1,16,Bedrohung,Bedrohung,PROPN,NORP_B
text5,1,17,der,der,NOUN,
text5,1,18,Grundrechte,Grundrechte,PROPN,PERSON_B
text5,1,19,an,an,PRON,
text5,1,20,:,:,PUNCT,
text5,1,21,eine,eine,NOUN,
text5,1,22,Einigung,Einigung,PROPN,PRODUCT_B
text5,1,23,bei,bei,PROPN,
text5,1,24,der,der,PROPN,
text5,1,25,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text5,1,26,.,.,PUNCT,
text5,2,1,Nachdem,Nachdem,PROPN,
text5,2,2,es,es,X,
text5,2,3,lange,lange,NOUN,
text5,2,4,so,so,ADV,
text5,2,5,aussah,aussah,ADJ,
text5,2,6,",",",",PUNCT,
text5,2,7,als,al,NOUN,
text5,2,8,könnte,könnte,VERB,
text5,2,9,sich,sich,PROPN,
text5,2,10,der,der,PROPN,
text5,2,11,Europäische,Europäische,PROPN,ORG_B
text5,2,12,Rat,Rat,PROPN,
text5,2,13,nicht,nicht,PROPN,
text5,2,14,einigen,einigen,NOUN,
text5,2,15,",",",",PUNCT,
text5,2,16,könnte,könnte,NOUN,
text5,2,17,die,die,VERB,
text5,2,18,Verordnung,Verordnung,PROPN,PERSON_B
text5,2,19,dazu,dazu,NOUN,
text5,2,20,nun,nun,NOUN,
text5,2,21,bereits,bereit,NOUN,
text5,2,22,kommende,kommende,NOUN,
text5,2,23,Woche,Woche,PROPN,
text5,2,24,beschlossen,beschlossen,PROPN,
text5,2,25,werden,werden,PROPN,
text5,2,26,.,.,PUNCT,
text7,1,1,Gleichzeitig,Gleichzeitig,PROPN,ORG_B
text7,1,2,zeichnet,zeichnet,PROPN,
text7,1,3,sich,sich,PROPN,
text7,1,4,ein,ein,PROPN,
text7,1,5,weiterer,weiterer,NOUN,
text7,1,6,Wunsch,Wunsch,PROPN,ORG_B
text7,1,7,der,der,PROPN,
text7,1,8,meisten,meisten,NOUN,
