doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Belgien,Belgien,PROPN,ORG_B
text1,1,2,ist,ist,ADJ,
text1,1,3,gescheitert,gescheitert,PROPN,
text1,1,4,",",",",PUNCT,
text1,1,5,die,die,VERB,
text1,1,6,EU,EU,PROPN,ORG_B
text1,1,7,-,-,PUNCT,
text1,1,8,Staaten,Staaten,PROPN,
text1,1,9,hinter,hinter,NOUN,
text1,1,10,ihrem,ihrem,NOUN,PERSON_B
text1,1,11,Gesetzentwurf,Gesetzentwurf,PROPN,PERSON_I
text1,1,12,zur,zur,NOUN,
text1,1,13,Chatkontrolle,Chatkontrolle,PROPN,
text1,1,14,zu,zu,ADJ,
text1,1,15,vereinigen,vereinigen,NOUN,
text1,1,16,.,.,PUNCT,
text1,2,1,Die,die,AUX,
text1,2,2,scheidende,scheidende,NOUN,
text1,2,3,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,PERSON_B
text1,2,4,hat,hat,NOUN,
text1,2,5,die,die,VERB,
text1,2,6,für,für,ADV,
text1,2,7,heute,heute,VERB,
text1,2,8,geplante,geplante,VERB,
text1,2,9,Abstimmung,Abstimmung,PROPN,ORG_B
text1,2,10,kurzfristig,kurzfristig,PROPN,PERSON_B
text1,2,11,abgesagt,abgesagt,NOUN,PERSON_I
text1,2,12,",",",",PUNCT,
text1,2,13,weil,weil,PROPN,
text1,2,14,keine,keine,NOUN,
text1,2,15,ausreichende,ausreichende,NOUN,
text1,2,16,Mehrheit,Mehrheit,PROPN,GPE_B
text1,2,17,in,in,ADP,
text1,2,18,Sicht,Sicht,PROPN,GPE_B
text1,2,19,war,war,NOUN,
text1,2,20,.,.,PUNCT,
text1,3,1,Damit,Damit,PROPN,
text1,3,2,geht,geht,PROPN,
text1,3,3,das,das,PROPN,PERSON_B
text1,3,4,Gesetzesvorhaben,Gesetzesvorhaben,PROPN,PERSON_I
text1,3,5,an,an,DET,
text1,3,6,die,die,NOUN,
text1,3,7,ungarische,ungarische,NOUN,
text1,3,8,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,
text1,3,9,",",",",PUNCT,
text1,3,10,die,die,PROPN,
text1,3,11,ab,ab,PROPN,
text1,3,12,Juli,Juli,PROPN,PERSON_B
text1,3,13,übernimmt,übernimmt,PROPN,
text1,3,14,.,.,PUNCT,
text3,1,1,Heute,Heute,PROPN,
text3,1,2,atmen,atman,NOUN,
text3,1,3,aber,aber,PROPN,
text3,1,4,viele,viele,PROPN,
text3,1,5,Gegner,Gegner,PROPN,ORG_B
text3,1,6,der,der,PROPN,
text3,1,7,Massenüberwachung,Massenüberwachung,PROPN,PERSON_B
text3,1,8,erst,erst,VERB,
text3,1,9,einmal,einmal,ADJ,
text3,1,10,auf,auf,PROPN,
text3,1,11,.,.,PUNCT,
text3,2,1,Die,die,VERB,PERSON_B
text3,2,2,Reaktionen,Reaktionen,PROPN,PERSON_I
text3,2,3,i,I,PRON,
text3,2,4,m,m,VERB,
text3,2,5,Überblick,Überblick,PROPN,PERSON_B
text3,2,6,.,.,PUNCT,
text5,1,1,Die,die,VERB,
text5,1,2,belgische,belgische,NOUN,
text5,1,3,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,PERSON_B
text5,1,4,kommentiert,kommentiert,PROPN,PERSON_I
text5,1,5,:,:,PUNCT,
text7,1,1,In,in,ADP,
text7,1,2,den,den,NOUN,
text7,1,3,letzten,letzten,VERB,
text7,1,4,Stunden,Stunden,PROPN,PERSON_B
text7,1,5,zeichnete,zeichnete,ADJ,
text7,1,6,sich,sich,PROPN,
text7,1,7,ab,ab,PROPN,
text7,1,8,",",",",PUNCT,
text7,1,9,dass,dass,PROPN,
text7,1,10,die,die,VERB,
text7,1,11,erforderliche,erforderliche,NOUN,
text7,1,12,qualifizierte,qualifizierte,INTJ,
text7,1,13,Mehrheit,Mehrheit,PROPN,GPE_B
text7,1,14,nicht,nicht,NOUN,
text7,1,15,zustande,zustande,PROPN,
text7,1,16,kommen,kommen,PROPN,PERSON_B
text7,1,17,würde,würde,VERB,PERSON_I
text7,1,18,.,.,PUNCT,
text7,2,1,Der,Der,PROPN,PERSON_B
text7,2,2,Vorsitz,Vorsitz,PROPN,PERSON_I
text7,2,3,beschloss,beschloss,PROPN,
text7,2,4,daher,daher,PROPN,
text7,2,5,",",",",PUNCT,
text7,2,6,den,den,VERB,
text7,2,7,Punkt,Punkt,PROPN,ORG_B
text7,2,8,von,von,PROPN,
text7,2,9,der,der,PROPN,
text7,2,10,heutigen,heutigen,NOUN,
text7,2,11,Tagesordnung,Tagesordnung,PROPN,GPE_B
text7,2,12,abzusetzen,abzusetzen,AUX,
text7,2,13,und,und,NOUN,
text7,2,14,die,die,VERB,
text7,2,15,Beratungen,Beratungen,PROPN,PERSON_B
text7,2,16,in,in,ADP,
text7,2,17,einer,einer,NOUN,
text7,2,18,ruhigen,ruhigen,NOUN,
text7,2,19,Atmosphäre,Atmosphäre,PROPN,PERSON_B
text7,2,20,fortzusetzen,fortzusetzen,NOUN,
text7,2,21,.,.,PUNCT,
text7,3,1,Dieser,Dieser,PROPN,ORG_B
text7,3,2,Punkt,Punkt,PROPN,ORG_I
text7,3,3,hat,hat,NOUN,
text7,3,4,für,für,NOUN,
text7,3,5,den,den,VERB,
text7,3,6,Rat,Rat,PROPN,
text7,3,7,nach,nach,NOUN,
text7,3,8,wie,wie,NOUN,
text7,3,9,vor,vor,AUX,
text7,3,10,hohe,hohe,NOUN,
text7,3,11,Priorität,Priorität,PROPN,ORG_B
text7,3,12,",",",",PUNCT,
text7,3,13,und,und,VERB,
text7,3,14,es,es,PROPN,
text7,3,15,wird,wird,PROPN,
text7,3,16,weiter,weiter,PROPN,
text7,3,17,daran,daran,PROPN,
text7,3,18,gearbeitet,gearbeitet,PROPN,
text7,3,19,",",",",PUNCT,
text7,3,20,einen,einen,NOUN,
text7,3,21,Standpunkt,Standpunkt,PROPN,GPE_B
text7,3,22,zu,zu,NOUN,
text7,3,23,finden,finden,NOUN,
text7,4,1,und,und,PROPN,
text7,4,2,die,die,VERB,
text7,4,3,Verhandlungen,Verhandlungen,PROPN,PERSON_B
text7,4,4,mit,mit,VERB,PERSON_I
text7,4,5,dem,dem,ADJ,PERSON_I
text7,4,6,Europäischen,Europäischen,PROPN,ORG_B
text7,4,7,Parlament,Parlament,PROPN,ORG_I
text7,4,8,aufzunehmen,aufzunehman,NOUN,
text7,4,9,.,.,PUNCT,
text10,1,1,Ella,Ella,PROPN,
text10,1,2,Jakubowska,Jakubowska,PROPN,PERSON_B
text10,1,3,(,(,PUNCT,
text10,1,4,Head,Head,PROPN,
text10,1,5,of,of,ADP,
text10,1,6,Policy,Policy,PROPN,
text10,1,7,",",",",PUNCT,
text10,1,8,European,European,PROPN,ORG_B
text10,1,9,Digital,Digital,PROPN,ORG_I
text10,1,10,Rights,Rights,PROPN,ORG_I
text10,1,11,):,):,PUNCT,
text12,1,1,Es,es,INTJ,
text12,1,2,ist,ist,PROPN,
text12,1,3,ein,ein,PROPN,
text12,1,4,sehr,sehr,PROPN,
text12,1,5,gutes,gutes,PROPN,
text12,1,6,Zeichen,Zeichen,PROPN,GPE_B
text12,1,7,",",",",PUNCT,
text12,1,8,dass,dass,NOUN,
text12,1,9,die,die,AUX,
text12,1,10,belgische,belgische,NOUN,
text12,1,11,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,PERSON_B
text12,1,12,die,die,VERB,
text12,1,13,Abstimmung,Abstimmung,PROPN,
text12,1,14,abgesagt,abgesagt,NOUN,
text12,1,15,hat,hat,NOUN,
text12,1,16,.,.,PUNCT,
text12,2,1,Gleichzeitig,Gleichzeitig,PROPN,ORG_B
text12,2,2,glaube,glaube,PROPN,
text12,2,3,ich,ich,NOUN,
text12,2,4,nicht,nicht,NOUN,
text12,2,5,",",",",PUNCT,
text12,2,6,dass,dass,PROPN,
text12,2,7,wir,wir,PROPN,
text12,2,8,schon,schon,PROPN,
text12,2,9,völlig,völlig,PROPN,
text12,3,1,i,I,PRON,
text12,3,2,m,m,VERB,
text12,3,3,Trockenen,trockenen,NOUN,PERSON_B
text12,3,4,sind,sind,NOUN,
text12,3,5,:,:,PUNCT,
text12,4,1,Wir,wir,ADJ,
text12,4,2,haben,haben,PROPN,
text12,4,3,schon,schon,NOUN,
text12,4,4,lange,lange,NOUN,
text12,4,5,vor,vor,NOUN,
text12,4,6,diesem,diesem,NOUN,
text12,4,7,Vorschlag,Vorschlag,PROPN,ORG_B
text12,4,8,gegen,gegen,NOUN,
text12,4,9,Versuche,Versuche,PROPN,ORG_B
text12,4,10,gekämpft,gekämpft,PROPN,
text12,4,11,",",",",PUNCT,
text12,4,12,Hintertüren,Hintertüren,PROPN,PERSON_B
text12,4,13,in,in,ADP,
text12,4,14,Verschlüsselungen,Verschlüsselungen,PROPN,GPE_B
text12,4,15,einzubauen,einzubauen,NOUN,
text12,4,16,.,.,PUNCT,
text12,5,1,Es,es,INTJ,
text12,5,2,ist,ist,NOUN,
text12,5,3,also,also,ADV,
text12,6,1,ein,ein,PROPN,
text12,6,2,Moment,Moment,PROPN,
text12,6,3,für,für,NOUN,
text12,6,4,Optimismus,Optimismus,PROPN,
text12,6,5,",",",",PUNCT,
text12,6,6,aber,aber,PROPN,
text12,6,7,wir,wir,PROPN,
text12,6,8,müssen,müssen,PROPN,PERSON_B
text12,6,9,den,den,VERB,
text12,6,10,Druck,Druck,PROPN,GPE_B
text12,6,11,trotzdem,trotzdem,PROPN,
text12,6,12,aufrechterhalten,aufrechterhalten,PROPN,
text12,6,13,.,.,PUNCT,
text15,1,1,Patrick,Patrick,PROPN,PERSON_B
text15,1,2,Breyer,Breyer,PROPN,PERSON_I
text15,1,3,(,(,PUNCT,
text15,1,4,MEP,MEP,PROPN,ORG_B
text15,1,5,",",",",PUNCT,
text15,1,6,Piraten,Piraten,PROPN,ORG_B
text15,1,7,):,):,PUNCT,
text15,1,8,Megaerfolg,Megaerfolg,PROPN,ORG_B
text15,1,9,bei,bei,NOUN,
text15,1,10,Verteidigung,Verteidigung,PROPN,ORG_B
text15,1,11,des,des,X,ORG_I
text15,1,12,digitalen,digitalen,VERB,
text15,1,13,Briefgeheimnisses,Briefgeheimnisses,PROPN,ORG_B
text17,1,1,Ohne,Ohne,PROPN,
text17,1,2,das,das,PROPN,
text17,1,3,Engagement,Engagement,PROPN,
text17,1,4,und,und,NOUN,
text17,1,5,den,den,VERB,
text17,1,6,Protest,protest,NOUN,
text17,1,7,von,von,PROPN,
text17,1,8,unzähligen,unzähligen,NOUN,
text17,1,9,Personen,Personen,PROPN,GPE_B
text17,1,10,und,und,PROPN,
text17,1,11,Organisationen,Organisationen,PROPN,PERSON_B
text17,1,12,in,in,ADP,
text17,1,13,Europa,Europa,PROPN,LOC_B
text17,1,14,in,in,ADP,
text17,1,15,den,den,NOUN,
text17,1,16,letzten,letzten,NOUN,
text17,1,17,Tagen,Tagen,PROPN,PERSON_B
text17,1,18,hätten,hätten,VERB,
text17,1,19,die,die,VERB,
text17,1,20,EU,EU,PROPN,ORG_B
text17,1,21,-,-,PUNCT,
text17,1,22,Regierungen,Regierungen,PROPN,
text17,1,23,heute,heute,NOUN,
text17,1,24,totalitäre,totalitäre,NOUN,
text17,1,25,flächendeckende,flächendeckende,VERB,
text17,1,26,Chatkontrollen,Chatkontrollen,PROPN,PERSON_B
text17,1,27,beschlossen,beschlossen,PROPN,
text17,1,28,",",",",PUNCT,
text17,1,29,das,das,PROPN,
text17,1,30,digitale,digitale,NOUN,
text17,1,31,Briefgeheimnis,Briefgeheimnis,PROPN,
text17,1,32,und,und,PROPN,
text17,1,33,sichere,sichere,ADJ,
text17,1,34,Verschlüsselung,Verschlüsselung,PROPN,PERSON_B
text17,1,35,beerdigt,beerdigt,NOUN,
text17,1,36,.,.,PUNCT,
text17,2,1,Danke,Danke,PROPN,PERSON_B
text17,2,2,an,an,DET,
text17,2,3,alle,alle,NOUN,
text17,2,4,",",",",PUNCT,
text17,2,5,die,die,VERB,
text17,2,6,Politikern,politikern,ADJ,NORP_B
text17,2,7,geschrieben,geschrieben,NOUN,
text17,2,8,oder,oder,NOUN,PERSON_B
text17,2,9,angerufen,angerufen,PROPN,PERSON_I
text17,2,10,haben,haben,PROPN,PERSON_I
text17,2,11,.,.,PUNCT,
text17,3,1,Dass,Dass,PROPN,PERSON_B
text17,3,2,wir,wir,NOUN,
text17,3,3,die,die,VERB,
text17,3,4,orwellsche,orwellsche,NOUN,
text17,3,5,Chatkontrolle,Chatkontrolle,PROPN,GPE_B
text17,3,6,trotz,trotz,VERB,
text17,3,7,des,des,PROPN,
text17,3,8,Umfallens,Umfallens,PROPN,ORG_B
text17,3,9,Frankreichs,Frankreichs,PROPN,ORG_I
text17,3,10,erneut,erneut,VERB,
text17,3,11,stoppen,stoppen,NOUN,
text17,3,12,konnten,konnten,PROPN,
text17,3,13,",",",",PUNCT,
text17,3,14,gehört,gehört,PROPN,
text17,3,15,gefeiert,gefeiert,ADJ,
text17,3,16,!,!,PUNCT,
text20,1,1,Maximilian,Maximilian,PROPN,PERSON_B
text20,1,2,Funke,Funke,PROPN,PERSON_I
text20,1,3,-,-,PUNCT,PERSON_I
text20,1,4,Kaiser,Kaiser,PROPN,PERSON_I
text20,1,5,(,(,PUNCT,
text20,1,6,MdB,MdB,PROPN,ORG_B
text20,1,7,",",",",PUNCT,
text20,1,8,FDP,FDP,PROPN,ORG_B
text20,1,9,):,):,PUNCT,
text20,1,10,Abstimmung,Abstimmung,PROPN,ORG_B
text20,1,11,über,über,NOUN,
text20,1,12,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text20,1,13,wurde,wurde,NOUN,PERSON_I
text20,1,14,vertagt,vertagt,NOUN,
text22,1,1,Wir,Wir,PROPN,
text22,1,2,Freie,Freie,PROPN,
text22,1,3,Demokraten,Demokraten,PROPN,
text22,1,4,sind,sind,NOUN,
text22,1,5,stolz,stolz,PROPN,
text22,1,6,darauf,darauf,PROPN,
text22,1,7,",",",",PUNCT,
text22,1,8,dass,dass,PROPN,
text22,1,9,wir,wir,NOUN,
text22,1,10,den,den,VERB,
text22,1,11,erneuten,erneuten,ADJ,
text22,1,12,Vorstoß,Vorstoß,PROPN,GPE_B
text22,1,13,zur,zur,NOUN,
text22,1,14,Chat,Chat,PROPN,ORG_B
text22,1,15,-,-,PUNCT,ORG_I
text22,1,16,Kontrolle,Kontrolle,PROPN,ORG_I
text22,1,17,in,in,ADP,
text22,1,18,Europa,Europa,PROPN,LOC_B
text22,1,19,und,und,PROPN,
text22,1,20,damit,damit,PROPN,
text22,1,21,einen,einen,PROPN,
text22,1,22,direkten,direkten,VERB,
