doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Liebe,Liebe,PROPN,PERSON_B
text1,1,2,Leser,Leser,PROPN,PERSON_I
text1,1,3,:,:,PUNCT,
text1,1,4,innen,innen,NOUN,
text1,1,5,",",",",PUNCT,
text3,1,1,kaum,kaum,PROPN,PERSON_B
text3,1,2,hat,hat,PROPN,
text3,1,3,man,man,PROPN,
text3,1,4,ein,ein,PROPN,PERSON_B
text3,1,5,bisschen,bisschen,PROPN,PERSON_I
text3,1,6,aufgeatmet,aufgeatmet,PROPN,
text3,1,7,",",",",PUNCT,
text3,1,8,dass,dass,NOUN,
text3,1,9,die,die,VERB,
text3,1,10,anlasslose,anlasslose,VERB,
text3,1,11,und,und,ADJ,
text3,1,12,verpflichtende,verpflichtende,NOUN,
text3,1,13,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,1,14,vielleicht,vielleicht,PROPN,
text3,1,15,vom,vom,NOUN,
text3,1,16,Tisch,Tisch,PROPN,PERSON_B
text3,1,17,ist,ist,NOUN,
text3,1,18,",",",",PUNCT,
text3,1,19,werden,werden,PROPN,
text3,1,20,die,die,VERB,
text3,1,21,Stimmen,Stimmen,PROPN,
text3,1,22,für,für,NOUN,
text3,1,23,Vorratsdatenspeicherung,Vorratsdatenspeicherung,PROPN,
text3,1,24,und,und,VERB,
text3,1,25,andere,andere,VERB,
text3,1,26,Überwachungen,Überwachungen,PROPN,ORG_B
text3,1,27,wieder,wieder,NOUN,PERSON_B
text3,1,28,lauter,lauter,NOUN,PERSON_I
text3,1,29,.,.,PUNCT,
text3,2,1,Innenminister,Innenminister,PROPN,
text3,2,2,Dobrindt,Dobrindt,PROPN,
text3,2,3,arbeitet,arbeitet,NOUN,
text3,2,4,darüber,darüber,PROPN,
text3,2,5,hinaus,hinaus,PROPN,
text3,2,6,schon,schon,VERB,
text3,2,7,an,an,DET,
text3,2,8,einem,einem,PROPN,
text3,2,9,„,„,PROPN,
text3,2,10,Sicherheitspaket,Sicherheitspaket,PROPN,WORK_OF_ART_B
text3,2,11,“,"""",PUNCT,
text3,2,12,",",",",PUNCT,
text3,2,13,das,das,PROPN,PRODUCT_B
text3,2,14,nicht,nicht,PROPN,PRODUCT_I
text3,2,15,nur,nur,VERB,
text3,2,16,die,die,VERB,
text3,2,17,biometrische,biometrische,NOUN,
text3,2,18,Überwachung,Überwachung,PROPN,PRODUCT_B
text3,2,19,massiv,massiv,PROPN,
text3,2,20,ausweiten,ausweiten,PROPN,
text3,2,21,soll,soll,PROPN,
text3,2,22,.,.,PUNCT,
text5,1,1,In,in,ADP,
text5,1,2,der,der,NOUN,
text5,1,3,griechischen,griechischen,NOUN,
text5,1,4,Mythologie,Mythologie,PROPN,GPE_B
text5,1,5,kommt,kommt,PROPN,PERSON_B
text5,1,6,einem,einem,PROPN,PERSON_I
text5,1,7,da,da,PROPN,
text5,1,8,sofort,sofort,NOUN,
text5,1,9,die,die,VERB,
text5,1,10,Hydra,Hydra,PROPN,PERSON_B
text5,1,11,in,in,ADP,
text5,1,12,den,den,NOUN,
text5,1,13,Sinn,Sinn,PROPN,ORG_B
text5,1,14,",",",",PUNCT,
text5,1,15,der,der,PROPN,
text5,1,16,gleich,gleich,PROPN,
text5,1,17,zwei,zwei,PROPN,
text5,1,18,Köpfe,Köpfe,PROPN,NORP_B
text5,1,19,nachwachsen,nachwachsen,PROPN,
text5,1,20,",",",",PUNCT,
text5,1,21,wenn,wenn,PROPN,
text5,1,22,man,man,PROPN,
text5,1,23,einen,einen,PROPN,
text5,1,24,abschlägt,abschlägt,PROPN,
text5,1,25,.,.,PUNCT,
text5,2,1,Herakles,herakle,NOUN,PERSON_B
text5,2,2,brauchte,brauchte,NOUN,PERSON_I
text5,2,3,damals,damal,NOUN,
text5,2,4,die,die,VERB,
text5,2,5,Hilfe,Hilfe,PROPN,ORG_B
text5,2,6,seines,seine,VERB,
text5,2,7,Neffen,Neffen,PROPN,GPE_B
text5,2,8,Iolaos,Iolaos,PROPN,GPE_I
text5,2,9,",",",",PUNCT,
text5,2,10,um,um,INTJ,
text5,2,11,die,die,VERB,
text5,2,12,Hydra,Hydra,PROPN,PERSON_B
text5,2,13,mit,mit,VERB,
text5,2,14,Feuer,Feuer,PROPN,GPE_B
text5,2,15,zu,zu,PROPN,
text5,2,16,besiegen,besiegen,NOUN,
text5,2,17,.,.,PUNCT,
text5,3,1,Das,Das,PROPN,
text5,3,2,Feuer,Feuer,PROPN,GPE_B
text5,3,3,einer,einer,NOUN,
text5,3,4,demokratischen,demokratischen,VERB,
text5,3,5,Zivilgesellschaft,Zivilgesellschaft,PROPN,NORP_B
text5,3,6,sind,sind,NOUN,
text5,3,7,Aufklärung,Aufklärung,PROPN,ORG_B
text5,3,8,",",",",PUNCT,ORG_I
text5,3,9,Information,Information,PROPN,ORG_I
text5,3,10,",",",",PUNCT,
text5,3,11,Vernetzung,Vernetzung,PROPN,WORK_OF_ART_B
text5,3,12,und,und,PROPN,WORK_OF_ART_I
text5,3,13,Protest,Protest,PROPN,WORK_OF_ART_I
text5,3,14,",",",",PUNCT,
text5,3,15,um,um,INTJ,
text5,3,16,die,die,VERB,
text5,3,17,Grundrechte,Grundrechte,PROPN,PERSON_B
text5,3,18,gegen,gegen,NOUN,
text5,3,19,die,die,VERB,
text5,3,20,Hydra,Hydra,PROPN,PERSON_B
text5,3,21,der,der,PROPN,PERSON_I
text5,3,22,Überwachung,Überwachung,PROPN,PERSON_I
text5,3,23,zu,zu,PROPN,PERSON_I
text5,3,24,verteidigen,verteidigen,PROPN,PERSON_I
