doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Schon,schon,ADJ,
text1,1,2,einmal,einmal,ADJ,
text1,1,3,vorweg,vorweg,NOUN,
text1,1,4,.,.,PUNCT,
text1,2,1,Es,es,INTJ,
text1,2,2,wird,wird,PROPN,
text1,2,3,auf,auf,PROPN,
text1,2,4,spezielle,spezielle,NOUN,PERSON_B
text1,2,5,Weise,Weise,PROPN,PERSON_I
text1,2,6,etwas,etwas,AUX,
text1,2,7,nerdig,nerdig,VERB,
text1,2,8,in,in,ADP,
text1,2,9,diesem,diesem,PROPN,
text1,2,10,Text,Text,PROPN,
text1,2,11,.,.,PUNCT,
text3,1,1,Wie,wie,NOUN,
text3,1,2,zu,zu,NOUN,
text3,1,3,jeder,jeder,NOUN,
text3,1,4,Monatsmitte,Monatsmitte,PROPN,NORP_B
text3,1,5,füllt,füllt,NOUN,
text3,1,6,sich,sich,PROPN,
text3,1,7,unser,unser,PROPN,
text3,1,8,Konto,Konto,PROPN,PERSON_B
text3,1,9,eigentlich,eigentlich,PROPN,
text3,1,10,",",",",PUNCT,
text3,1,11,weil,weil,PROPN,
text3,1,12,die,die,VERB,
text3,1,13,SEPA,SEPA,PROPN,
text3,1,14,-,-,PUNCT,
text3,1,15,Lastschriften,Lastschriften,VERB,
text3,1,16,eingezogen,eingezogen,NOUN,
text3,1,17,werden,werden,NOUN,
text3,1,18,.,.,PUNCT,
text3,2,1,Aber,Aber,PROPN,
text3,2,2,es,es,X,
text3,2,3,war,war,NOUN,
text3,2,4,nichts,nicht,NOUN,
text3,2,5,da,da,X,
text3,2,6,.,.,PUNCT,
text3,3,1,Einen,Einen,PROPN,
text3,3,2,Tag,Tag,PROPN,
text3,3,3,später,später,NOUN,
text3,3,4,nicht,nicht,NOUN,
text3,3,5,und,und,VERB,
text3,3,6,auch,auch,ADJ,
text3,3,7,eine,eine,NOUN,
text3,3,8,Woche,Woche,PROPN,
text3,3,9,später,später,NOUN,
text3,3,10,nicht,nicht,NOUN,
text3,3,11,.,.,PUNCT,
text3,4,1,Kurze,Kurze,PROPN,PERSON_B
text3,4,2,darauf,darauf,PROPN,
text3,4,3,waren,waren,PROPN,
text3,4,4,fünf,fünf,INTJ,
text3,4,5,Menschen,Menschen,PROPN,GPE_B
text3,4,6,aus,aus,NOUN,GPE_I
text3,4,7,drei,drei,PROPN,
text3,4,8,Unternehmen,Unternehmen,PROPN,ORG_B
text3,4,9,involviert,involviert,NOUN,
text3,4,10,",",",",PUNCT,
text3,4,11,um,um,INTJ,
text3,4,12,zu,zu,PROPN,
text3,4,13,klären,klären,PROPN,
text3,4,14,",",",",PUNCT,
text3,4,15,wo,will,AUX,
text3,4,16,zur,zur,PROPN,
text3,4,17,Hölle,Hölle,PROPN,GPE_B
text3,4,18,dieses,diesis,NOUN,
text3,4,19,Geld,Geld,PROPN,PERSON_B
text3,4,20,festhängt,festhängt,NOUN,
text3,4,21,.,.,PUNCT,
text5,1,1,Aber,Aber,PROPN,
text5,1,2,zunächst,zunächst,NOUN,
text5,1,3,gehen,gehen,PROPN,
text5,1,4,wir,wir,PROPN,
text5,1,5,ein,ein,PROPN,
text5,1,6,paar,paar,VERB,
text5,1,7,Schritte,Schritte,PROPN,PERSON_B
text5,1,8,zurück,zurück,NOUN,PERSON_I
text5,1,9,.,.,PUNCT,
text5,2,1,Zum,zum,ADJ,NORP_B
text5,2,2,ersten,ersten,NOUN,
text5,2,3,Mal,Mal,PROPN,PERSON_B
text5,2,4,schreibe,schreibe,NOUN,
text5,2,5,ich,ich,NOUN,
text5,2,6,nicht,nicht,PROPN,
text5,2,7,nur,nur,VERB,
text5,2,8,über,über,PROPN,
text5,2,9,unsere,unsere,NOUN,
text5,2,10,Finanzfachfrau,Finanzfachfrau,PROPN,PERSON_B
text5,2,11,Tina,Tina,PROPN,PERSON_I
text5,2,12,",",",",PUNCT,
text5,2,13,sondern,sondern,PROPN,
text5,2,14,sie,sie,PROPN,
text5,2,15,kommt,kommt,PROPN,ORG_B
text5,2,16,selbst,selbst,PROPN,ORG_I
text5,2,17,zu,zu,PROPN,ORG_I
text5,2,18,Wort,Wort,PROPN,GPE_B
text5,2,19,mit,mit,VERB,
text5,2,20,einem,einem,PROPN,
text5,2,21,Kurzabriss,Kurzabriss,PROPN,GPE_B
text5,2,22,vom,vom,NOUN,
text5,2,23,Ellenbogenpolster,Ellenbogenpolster,PROPN,
text5,2,24,zu,zu,PROPN,
text5,2,25,unserer,unserer,NOUN,
text5,2,26,neuen,neuen,PROPN,
text5,2,27,Buchführungssoftware,Buchführungssoftware,PROPN,ORG_B
text5,2,28,",",",",PUNCT,
text5,2,29,die,die,PROPN,
