doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Monatelang,Monatelang,PROPN,
text1,1,2,hat,hat,NOUN,
text1,1,3,der,der,NOUN,
text1,1,4,Journalist,journalist,NOUN,
text1,1,5,Daniel,Daniel,PROPN,PERSON_B
text1,1,6,Moßbrucker,Moßbrucker,PROPN,PERSON_I
text1,1,7,mit,mit,VERB,
text1,1,8,einem,einem,PROPN,
text1,1,9,Recherche,Recherche,PROPN,ORG_B
text1,1,10,-,-,PUNCT,ORG_I
text1,1,11,Team,Team,PROPN,ORG_I
text1,1,12,des,des,X,ORG_I
text1,1,13,Panorama,Panorama,PROPN,ORG_I
text1,1,14,-,-,PUNCT,ORG_I
text1,1,15,Magazins,Magazins,PROPN,ORG_I
text1,1,16,(,(,PUNCT,
text1,1,17,ARD,ARD,PROPN,ORG_B
text1,1,18,),),PUNCT,
text1,1,19,und,und,PROPN,
text1,1,20,STRG_F,STRG_F,PROPN,
text1,1,21,(,(,PUNCT,
text1,1,22,NDR,NDR,PROPN,ORG_B
text1,1,23,/,/,SYM,
text1,1,24,funk,funk,NOUN,
text1,1,25,),),PUNCT,
text1,1,26,recherchiert,recherchiert,NOUN,
text1,1,27,",",",",PUNCT,
text1,1,28,wie,wie,PROPN,
text1,1,29,Alltagsfotos,Alltagsfotos,PROPN,PERSON_B
text1,1,30,von,von,PROPN,PERSON_I
text1,1,31,Kindern,Kindern,PROPN,PERSON_I
text1,1,32,in,in,ADP,
text1,1,33,Foren,Foren,PROPN,GPE_B
text1,1,34,für,für,NOUN,
text1,1,35,Pädokriminelle,Pädokriminelle,PROPN,PERSON_B
text1,1,36,landen,landen,VERB,
text1,1,37,.,.,PUNCT,
text1,2,1,Nach,Nach,PROPN,
text1,2,2,dieser,dieser,NOUN,
text1,2,3,Recherche,Recherche,PROPN,PERSON_B
text1,2,4,machte,machte,PROPN,PERSON_I
text1,2,5,er,er,INTJ,
text1,2,6,weiter,weiter,NOUN,
text1,2,7,.,.,PUNCT,
text1,3,1,I,I,PRON,
text1,3,2,m,m,VERB,
text1,3,3,September,September,PROPN,DATE_B
text1,3,4,hat,hat,NOUN,
text1,4,1,er,er,INTJ,
text1,4,2,ein,ein,NOUN,
text1,4,3,Buch,Buch,PROPN,PERSON_B
text1,4,4,veröffentlicht,veröffentlicht,NOUN,
text1,4,5,–,–,PUNCT,
text1,4,6,„,„,PUNCT,
text1,4,7,Direkt,Direkt,NOUN,
text1,4,8,vor,vor,VERB,
text1,4,9,unseren,unseren,ADJ,
text1,5,1,Augen,Augen,PROPN,PERSON_B
text1,5,2,:,:,PUNCT,
text1,5,3,Wie,Wie,PROPN,PERSON_B
text1,5,4,Pädokriminelle,Pädokriminelle,PROPN,PERSON_I
text1,5,5,i,I,PRON,
text1,5,6,m,m,VERB,
text1,5,7,Internet,internet,NOUN,
text1,5,8,vorgehen,vorgehen,NOUN,
text1,5,9,–,–,PUNCT,
text1,5,10,und,und,ADJ,
text1,5,11,wie,wie,NOUN,
text1,5,12,wir,wir,NOUN,
text1,5,13,Kinder,Kinder,PROPN,NORP_B
text1,5,14,davor,davor,VERB,
text1,5,15,schützen,schützen,NOUN,
text1,5,16,“,"""",PUNCT,
text1,5,17,.,.,PUNCT,
text3,1,1,Wir,wir,ADJ,
text3,1,2,haben,haben,NOUN,
text3,1,3,mit,mit,VERB,
text3,1,4,Moßbrucker,Moßbrucker,PROPN,ORG_B
text3,1,5,darüber,darüber,PROPN,
text3,1,6,gesprochen,gesprochen,NOUN,
text3,1,7,",",",",PUNCT,
text3,1,8,welche,welche,PROPN,
text3,1,9,verschiedenen,verschiedenen,PROPN,
text3,1,10,Bereiche,Bereiche,PROPN,ORG_B
text3,1,11,zu,zu,PROPN,
text3,1,12,sexualisierter,sexualisierter,NOUN,
text3,2,1,Gewalt,Gewalt,PROPN,PERSON_B
text3,2,2,i,I,PRON,
text3,2,3,m,m,VERB,
text3,2,4,Netz,Netz,PROPN,PERSON_B
text3,2,5,gehören,gehören,NOUN,
text3,2,6,",",",",PUNCT,
text3,2,7,warum,warum,NOUN,
text3,2,8,die,die,VERB,
text3,2,9,politische,politische,PROPN,
text3,2,10,Diskussion,Diskussion,PROPN,
text3,2,11,oft,oft,ADP,
text3,2,12,zu,zu,PROPN,
text3,2,13,kurz,kurz,PROPN,
text3,2,14,greift,greift,NOUN,
text3,2,15,und,und,PROPN,
text3,2,16,was,be,AUX,
text3,2,17,uns,un,VERB,
text3,2,18,beim,beim,PROPN,
text3,2,19,Überblick,Überblick,PROPN,ORG_B
text3,2,20,über,über,NOUN,
text3,2,21,die,die,NOUN,
text3,2,22,Probleme,Probleme,PROPN,ORG_B
text3,2,23,fehlt,fehlt,NOUN,
text3,2,24,.,.,PUNCT,
text5,1,1,*,*,PUNCT,
text5,1,2,*,*,PUNCT,
text5,1,3,netzpolitik.org,netzpolitik.org,X,
text5,1,4,:*,:*,PROPN,
text5,1,5,*,*,PUNCT,
text5,1,6,Was,be,AUX,
text5,1,7,hat,hat,NOUN,
text5,1,8,dich,dich,ADJ,
text5,1,9,dazu,dazu,NOUN,
text5,1,10,bewegt,bewegt,PROPN,
text5,1,11,",",",",PUNCT,
text5,1,12,ein,ein,PROPN,PERSON_B
text5,1,13,Buch,Buch,PROPN,PERSON_I
text5,1,14,zu,zu,NOUN,
text5,1,15,so,so,ADV,
text5,1,16,einem,einem,PROPN,
text5,1,17,schwierigen,schwierigen,NOUN,
text5,1,18,Thema,Thema,PROPN,
text5,1,19,zu,zu,PROPN,
text5,1,20,schreiben,schreiben,PROPN,
text5,1,21,?,?,PUNCT,
text7,1,1,*,*,PUNCT,
text7,1,2,*,*,PUNCT,
text7,1,3,Daniel,Daniel,PROPN,
text7,1,4,Moßbrucker,Moßbrucker,PROPN,
text7,1,5,:*,:*,PROPN,
text7,1,6,*,*,PUNCT,
text7,1,7,Ich,Ich,PROPN,
text7,1,8,habe,habe,NOUN,
text7,1,9,über,über,PROPN,
text7,1,10,Darknet,Darknet,PROPN,ORG_B
text7,1,11,-,-,PUNCT,ORG_I
text7,1,12,Foren,Foren,PROPN,ORG_I
text7,1,13,für,für,NOUN,
text7,1,14,Pädokriminelle,Pädokriminelle,PROPN,PERSON_B
text7,1,15,recherchiert,recherchiert,NOUN,
text7,1,16,und,und,PROPN,
text7,1,17,währenddessen,währenddessen,NOUN,
text7,1,18,gedacht,gedacht,NOUN,
text7,1,19,:,:,PUNCT,
text7,1,20,„,„,PUNCT,
text7,1,21,Wahnsinn,Wahnsinn,PROPN,
text7,1,22,",",",",PUNCT,
text7,1,23,Du,Du,PROPN,ORG_B
text7,1,24,lernst,lernst,NOUN,
text7,1,25,gerade,gerade,NOUN,
text7,1,26,so,so,ADV,
text7,1,27,viel,viel,ADJ,PERSON_B
text7,1,28,über,über,ADJ,PERSON_I
text7,1,29,eine,eine,NOUN,
text7,1,30,ganz,ganz,PROPN,
text7,1,31,andere,andere,PROPN,
text7,1,32,",",",",PUNCT,
text7,1,33,parallele,parallele,NOUN,
text7,1,34,Welt,Welt,PROPN,PERSON_B
text7,1,35,.,.,PUNCT,
text7,1,36,“,"""",PUNCT,
text7,2,1,Aus,Aus,PROPN,
text7,2,2,guten,guten,PROPN,
text7,2,3,Gründen,Gründen,PROPN,
text7,2,4,ist,ist,NOUN,
text7,2,5,diese,diese,PROPN,NORP_B
