doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Nancy,Nancy,PROPN,PERSON_B
text1,1,2,Faeser,Faeser,PROPN,PERSON_I
text1,1,3,ist,ist,AUX,
text1,1,4,die,die,VERB,
text1,1,5,aktuelle,aktuelle,NOUN,
text1,1,6,Bundesinnenministerin,Bundesinnenministerin,PROPN,GPE_B
text1,1,7,.,.,PUNCT,
text1,2,1,Und,Und,PROPN,
text1,2,2,Nancy,Nancy,PROPN,PERSON_B
text1,2,3,Faeser,Faeser,PROPN,PERSON_I
text1,2,4,möchte,möchte,NOUN,
text1,2,5,Ministerpräsidentin,Ministerpräsidentin,PROPN,ORG_B
text1,2,6,in,in,ADP,
text1,2,7,Hessen,Hessen,PROPN,GPE_B
text1,2,8,werden,werden,PROPN,
text1,2,9,.,.,PUNCT,
text1,3,1,Kürzlich,Kürzlich,PROPN,PERSON_B
text1,3,2,hat,hat,NOUN,
text1,3,3,ihre,ihre,PROPN,
text1,3,4,Partei,Partei,PROPN,
text1,3,5,",",",",PUNCT,
text1,3,6,die,die,VERB,
text1,3,7,SPD,SPD,PROPN,
text1,3,8,",",",",PUNCT,
text1,3,9,sie,sie,PROPN,
text1,3,10,zur,zur,PROPN,
text1,3,11,Spitzenkandidatin,Spitzenkandidatin,PROPN,PERSON_B
text1,3,12,für,für,NOUN,
text1,3,13,die,die,VERB,
text1,3,14,Landtagswahl,Landtagswahl,NOUN,PERSON_B
text1,4,1,i,I,PRON,
text1,4,2,m,m,VERB,
text1,4,3,Oktober,Oktober,PROPN,PERSON_B
text1,4,4,gewählt,gewählt,NOUN,
text1,4,5,.,.,PUNCT,
text1,5,1,Frei,frei,ADV,
text1,5,2,nach,nach,VERB,
text1,5,3,dem,dem,ADJ,
text1,5,4,Motto,Motto,PROPN,
text1,5,5,„,„,PUNCT,
text1,5,6,Wenn,Wenn,PROPN,
text1,5,7,’s,’s,PART,
text1,5,8,in,in,ADP,
text1,5,9,Hessen,Hessen,PROPN,GPE_B
text1,5,10,nicht,nicht,PROPN,
text1,5,11,klappt,klappt,PROPN,
text1,5,12,",",",",PUNCT,
text1,5,13,für’n,für’n,PROPN,PERSON_B
text1,5,14,Bund,Bund,PROPN,PERSON_I
text1,5,15,reichts,reicht,NOUN,
text1,5,16,“,"""",PUNCT,
text1,5,17,möchte,möchte,VERB,
text1,5,18,Faeser,Faeser,PROPN,PRODUCT_B
text1,5,19,aber,aber,PROPN,
text1,5,20,Innenministerin,Innenministerin,PROPN,GPE_B
text1,5,21,bleiben,bleiben,PROPN,
text1,5,22,",",",",PUNCT,
text1,5,23,wenn,wenn,PROPN,
text1,5,24,die,die,VERB,
text1,5,25,Wahlergebnisse,Wahlergebnisse,PROPN,NORP_B
text1,5,26,für,für,NOUN,
text1,5,27,ein,ein,PROPN,
text1,5,28,Landesregieren,Landesregieren,PROPN,PRODUCT_B
text1,5,29,nicht,nicht,PROPN,
text1,5,30,genügen,genügen,NOUN,
