doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Unabhängig,Unabhängig,PROPN,
text1,1,2,von,von,PROPN,
text1,1,3,den,den,VERB,
text1,1,4,Plänen,Plänen,PROPN,ORG_B
text1,1,5,einer,einer,NOUN,
text1,1,6,verpflichtenden,verpflichtenden,NOUN,
text1,1,7,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,8,",",",",PUNCT,
text1,1,9,die,die,VERB,
text1,1,10,vorerst,vorerst,PROPN,
text1,1,11,gescheitert,gescheitert,PROPN,PERSON_B
text1,1,12,scheinen,scheinen,PROPN,PERSON_I
text1,1,13,",",",",PUNCT,
text1,1,14,gibt,gibt,PROPN,
text1,1,15,es,es,X,
text1,1,16,schon,schon,ADJ,
text1,1,17,seit,seit,NOUN,
text1,1,18,Jahren,Jahren,PROPN,PERSON_B
text1,1,19,eine,eine,NOUN,
text1,1,20,freiwillige,freiwillige,NOUN,
text1,1,21,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,22,",",",",PUNCT,
text1,1,23,bei,bei,PROPN,
text1,1,24,der,der,PROPN,
text1,1,25,Internet,Internet,PROPN,
text1,1,26,-,-,PUNCT,
text1,1,27,Dienste,Dienste,PROPN,
text1,1,28,wie,wie,NOUN,
text1,1,29,Microsoft,Microsoft,PROPN,ORG_B
text1,1,30,",",",",PUNCT,
text1,1,31,Google,Google,PROPN,ORG_B
text1,1,32,oder,oder,NOUN,
text1,1,33,Facebook,Facebook,PROPN,
text1,1,34,schon,schon,NOUN,
text1,1,35,heute,heute,NOUN,
text1,1,36,Inhalte,Inhalte,PROPN,PERSON_B
text1,1,37,ihrer,ihrer,NOUN,
text1,1,38,Nutzer,Nutzer,PROPN,ORG_B
text1,1,39,:,:,PUNCT,
text1,1,40,innen,innen,NOUN,
text1,1,41,scannen,scannen,NOUN,
text1,1,42,.,.,PUNCT,
text1,2,1,Das,Das,PROPN,
text1,2,2,ist,ist,ADJ,
text1,2,3,eigentlich,eigentlich,PROPN,
text1,2,4,in,in,ADP,
text1,2,5,der,der,PROPN,
text1,2,6,Datenschutzrichtlinie,Datenschutzrichtlinie,PROPN,PERSON_B
text1,2,7,für,für,NOUN,
text1,2,8,elektronische,elektronische,NOUN,
text1,2,9,Kommunikation,Kommunikation,PROPN,PERSON_B
text1,2,10,verboten,verboten,NOUN,
text1,2,11,",",",",PUNCT,
text1,2,12,wird,wird,PROPN,
text1,2,13,aber,aber,PROPN,
text1,2,14,durch,durch,NOUN,
text1,2,15,eine,eine,NOUN,
text1,2,16,Ausnahmeregelung,Ausnahmeregelung,PROPN,ORG_B
text1,2,17,erlaubt,erlaubt,VERB,
text1,2,18,.,.,PUNCT,
text3,1,1,Teil,Teil,PROPN,PERSON_B
text3,1,2,dieser,dieser,NOUN,
text3,1,3,Ausnahmeregelung,Ausnahmeregelung,PROPN,PERSON_B
text3,1,4,ist,ist,ADP,
text3,1,5,ein,ein,PROPN,
text3,1,6,verpflichtender,verpflichtender,PROPN,
text3,1,7,Bericht,Bericht,PROPN,PERSON_B
text3,1,8,",",",",PUNCT,
text3,1,9,den,den,NOUN,
text3,1,10,die,die,ADJ,
text3,1,11,EU,EU,PROPN,ORG_B
text3,1,12,-,-,PUNCT,ORG_I
text3,1,13,Kommission,Kommission,PROPN,ORG_I
text3,1,14,eigentlich,eigentlich,NOUN,
text3,1,15,bis,bis,ADJ,
text3,1,16,August,August,PROPN,DATE_B
text3,1,17,hätte,hätte,PROPN,
text3,1,18,veröffentlichen,veröffentlichen,PROPN,
text3,1,19,sollen,sollen,PROPN,
text3,1,20,",",",",PUNCT,
text3,1,21,was,be,AUX,
text3,1,22,sie,sie,PROPN,
text3,1,23,nicht,nicht,PROPN,
text3,1,24,tat,tat,NOUN,
text3,1,25,.,.,PUNCT,
text3,2,1,Jetzt,jetzt,NOUN,
text3,2,2,",",",",PUNCT,
