doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Wir,Wir,PROPN,
text1,1,2,liegen,liegen,NOUN,
text1,1,3,etwas,etwa,VERB,
text1,1,4,i,I,PRON,
text1,1,5,m,m,VERB,
text1,1,6,Zeitplan,zeitplan,ADJ,PERSON_B
text1,1,7,zurück,zurück,NOUN,PERSON_I
text1,1,8,.,.,PUNCT,
text1,2,1,Eigentlich,eigentlich,NOUN,
text1,2,2,wollten,wollten,NOUN,
text1,2,3,wir,wir,PROPN,
text1,2,4,einen,einen,PROPN,
text1,2,5,fließenden,fließenden,PROPN,
text1,2,6,Übergang,Übergang,PROPN,PERSON_B
text1,2,7,schaffen,schaffen,VERB,
text1,2,8,und,und,ADJ,
text1,2,9,unseren,unseren,PROPN,
text1,2,10,Transparenzbericht,Transparenzbericht,PROPN,ORG_B
text1,2,11,nun,nun,ADJ,
text1,2,12,nicht,nicht,PROPN,
text1,2,13,mehr,mehr,PROPN,
text1,2,14,monatlich,monatlich,NOUN,
text1,2,15,",",",",PUNCT,
text1,2,16,sondern,sondern,ADJ,
text1,2,17,vierteljährlich,vierteljährlich,NOUN,PERSON_B
text1,2,18,veröffentlichen,veröffentlichen,PROPN,PERSON_I
text1,2,19,.,.,PUNCT,
text1,3,1,Die,die,VERB,
text1,3,2,Latte,Latte,PROPN,
text1,3,3,haben,haben,NOUN,
text1,3,4,wir,wir,NOUN,
text1,3,5,gleich,gleich,PROPN,
text1,3,6,zu,zu,PROPN,PERSON_B
text1,3,7,Beginn,Beginn,PROPN,PERSON_I
text1,3,8,gerissen,gerissen,NOUN,
text1,3,9,.,.,PUNCT,
text3,1,1,Warum,warum,NOUN,
text3,1,2,hat,hat,VERB,
text3,1,3,es,es,X,
text3,1,4,länger,länger,ADV,
text3,1,5,gedauert,gedauert,VERB,
text3,1,6,?,?,PUNCT,
text3,2,1,Seit,Seit,PROPN,PERSON_B
text3,2,2,Ende,Ende,PROPN,PERSON_I
text3,2,3,vergangenen,vergangenen,NOUN,
text3,2,4,Jahres,Jahres,PROPN,PERSON_B
text3,2,5,haben,haben,NOUN,
text3,2,6,wir,wir,NOUN,
text3,2,7,eine,eine,NOUN,
text3,2,8,neue,neue,NOUN,
text3,2,9,Geschäftsführung,Geschäftsführung,PROPN,GPE_B
text3,2,10,und,und,PROPN,
text3,2,11,eine,eine,NOUN,
text3,2,12,neue,neue,NOUN,
text3,2,13,Finanzbuchhaltung,Finanzbuchhaltung,PROPN,GPE_B
text3,2,14,.,.,PUNCT,
text3,3,1,Die,die,VERB,
text3,3,2,beiden,beiden,ADJ,
text3,3,3,stellen,stellen,NOUN,
text3,3,4,die,die,NOUN,
text3,3,5,Finanzauswertungen,Finanzauswertungen,PROPN,ORG_B
text3,3,6,mittels,mittel,NOUN,
text3,3,7,einer,einer,NOUN,
text3,3,8,veränderten,veränderten,VERB,
text3,3,9,Kostenzuordnung,Kostenzuordnung,PROPN,GPE_B
text3,3,10,neu,neu,PROPN,
text3,3,11,auf,auf,PROPN,
text3,3,12,.,.,PUNCT,
text3,4,1,Das,Das,PROPN,
text3,4,2,alles,alle,VERB,
text3,4,3,erfolgt,erfolgt,VERB,
text3,4,4,auch,auch,ADV,
text3,4,5,noch,noch,ADV,
text3,4,6,in,in,ADP,
text3,4,7,Abstimmung,Abstimmung,PROPN,ORG_B
text3,4,8,mit,mit,VERB,
text3,4,9,unserem,unserem,ADJ,
text3,4,10,Steuerberatungsbüro,Steuerberatungsbüro,PROPN,PRODUCT_B
text3,4,11,.,.,PUNCT,
text3,5,1,Diese,Diese,PROPN,NORP_B
text3,5,2,Umstellung,Umstellung,PROPN,
text3,5,3,kostet,kostet,NOUN,
text3,5,4,etwas,etwa,VERB,
text3,5,5,Zeit,Zeit,PROPN,ORG_B
text3,5,6,.,.,PUNCT,
text5,1,1,Daher,Daher,PROPN,
text5,1,2,erzählen,erzählen,NOUN,
text5,1,3,wir,wir,NOUN,
text5,1,4,euch,euch,NOUN,
text5,1,5,in,in,ADP,
text5,1,6,diesem,diesem,PROPN,
text5,1,7,Transparenzbericht,Transparenzbericht,PROPN,GPE_B
text5,1,8,alles,alle,VERB,
text5,1,9,Wichtige,Wichtige,PROPN,PERSON_B
text5,1,10,",",",",PUNCT,
text5,1,11,was,be,AUX,
text5,1,12,i,I,PRON,
text5,1,13,m,m,VERB,
text5,1,14,ersten,ersten,ADJ,
text5,1,15,Halbjahr,Halbjahr,PROPN,
text5,1,16,2024,2024,NUM,DATE_B
text5,2,1,i,I,PRON,
text5,2,2,m,m,VERB,
text5,2,3,Team,Team,PROPN,
text5,2,4,passiert,passiert,NOUN,
text5,2,5,ist,ist,NOUN,
text5,2,6,.,.,PUNCT,
text5,3,1,Weiter,Weiter,PROPN,PERSON_B
text5,3,2,unten,unten,ADJ,
text5,3,3,folgen,folgen,NOUN,
text5,3,4,die,die,VERB,
text5,3,5,Zahlen,Zahlen,PROPN,PERSON_B
text5,3,6,aus,aus,PROPN,PERSON_I
text5,3,7,dem,dem,PROPN,PERSON_I
text5,3,8,ersten,ersten,PROPN,
text5,3,9,Quartal,Quartal,PROPN,GPE_B
text5,3,10,.,.,PUNCT,
text5,4,1,Der,Der,PROPN,PERSON_B
text5,4,2,nächste,nächste,NOUN,
text5,4,3,Transparenzbericht,Transparenzbericht,PROPN,PERSON_B
text5,4,4,kommt,kommt,PROPN,
text5,5,1,i,I,PRON,
text5,5,2,m,m,VERB,
text5,5,3,August,August,PROPN,DATE_B
text5,5,4,",",",",PUNCT,
text5,5,5,dann,dann,PROPN,
text5,5,6,vor,vor,VERB,
text5,5,7,allem,allem,NOUN,
text5,5,8,mit,mit,X,
text5,5,9,den,den,VERB,
text5,5,10,harten,harten,ADJ,
text5,5,11,Zahlen,Zahlen,PROPN,PERSON_B
text5,5,12,aus,aus,ADP,PERSON_I
text5,5,13,dem,dem,INTJ,PERSON_I
text5,5,14,zweiten,zweiten,PROPN,
text5,5,15,Quartal,Quartal,PROPN,GPE_B
text5,5,16,.,.,PUNCT,
text7,1,1,#,#,SYM,
text7,1,2,#,#,NOUN,
text7,1,3,Das,Das,PROPN,
text7,1,4,erste,erste,NOUN,
text7,1,5,Halbjahr,Halbjahr,PROPN,
text7,1,6,2024,2024,NUM,DATE_B
text9,1,1,Schauen,Schauen,PROPN,PERSON_B
text9,1,2,wir,wir,NOUN,
text9,1,3,also,also,ADV,
text9,1,4,zurück,zurück,VERB,
text9,1,5,auf,auf,PROPN,
text9,1,6,das,das,PROPN,PRODUCT_B
text9,1,7,erste,erste,NOUN,
text9,1,8,Halbjahr,Halbjahr,PROPN,ORG_B
text9,1,9,",",",",PUNCT,
text9,1,10,in,in,ADP,
text9,1,11,dem,dem,ADJ,NORP_B
text9,1,12,viel,viel,PROPN,
text9,1,13,passiert,passiert,PROPN,
text9,1,14,ist,ist,PROPN,
text9,1,15,.,.,PUNCT,
text9,2,1,I,I,PRON,
text9,2,2,m,m,VERB,
text9,2,3,Januar,Januar,PROPN,PRODUCT_B
text9,2,4,begannen,begannen,NOUN,
text9,2,5,die,die,VERB,
text9,2,6,Großdemonstrationen,Großdemonstrationen,PROPN,ORG_B
text9,2,7,gegen,gegen,NOUN,
text9,2,8,die,die,VERB,
text9,2,9,AfD.,AfD.,PUNCT,
text9,3,1,Über,Über,PROPN,PERSON_B
text9,3,2,Wochen,Wochen,PROPN,PERSON_I
text9,3,3,gingen,gingen,NOUN,
text9,3,4,hunderttausende,hunderttausende,PROPN,
text9,3,5,Menschen,Menschen,PROPN,NORP_B
text9,3,6,auf,auf,PROPN,
text9,3,7,die,die,NOUN,
text9,3,8,Straßen,Straßen,PROPN,PERSON_B
text9,3,9,.,.,PUNCT,
text9,4,1,Die,die,AUX,
text9,4,2,Recherchen,Recherchen,PROPN,PERSON_B
text9,4,3,von,von,PROPN,PERSON_I
text9,4,4,Correctiv,Correctiv,PROPN,PERSON_I
text9,4,5,hatten,hatten,ADV,
text9,4,6,die,die,VERB,
text9,4,7,Proteste,Proteste,PROPN,
text9,4,8,ausgelöst,ausgelöst,NOUN,
text9,4,9,.,.,PUNCT,
text11,1,1,Inzwischen,Inzwischen,PROPN,
text11,1,2,liegen,liegen,NOUN,
text11,1,3,die,die,VERB,
text11,1,4,EU,EU,PROPN,ORG_B
