doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Bei,Bei,PROPN,
text1,1,2,der,der,NOUN,
text1,1,3,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,4,wird,wird,PROPN,
text1,1,5,es,es,PROPN,
text1,1,6,ernst,ernst,PROPN,
text1,1,7,.,.,PUNCT,
text1,2,1,Für,für,ADJ,
text1,2,2,den,den,NOUN,
text1,2,3,kommenden,kommenden,PROPN,
text1,2,4,Mittwoch,Mittwoch,PROPN,
text1,2,5,steht,steht,NOUN,
text1,2,6,die,die,VERB,
text1,2,7,umstrittene,umstrittene,NOUN,
text1,2,8,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,2,9,auf,auf,PROPN,
text1,2,10,der,der,PROPN,
text1,2,11,Tagesordnung,Tagesordnung,PROPN,ORG_B
text1,2,12,des,des,PROPN,ORG_I
text1,2,13,Ausschusses,Ausschusses,PROPN,ORG_I
text1,2,14,der,der,NOUN,
text1,2,15,Ständigen,Ständigen,PROPN,ORG_B
text1,2,16,Vertreter,Vertreter,PROPN,ORG_I
text1,2,17,des,des,PROPN,ORG_I
text1,2,18,EU,EU,PROPN,ORG_I
text1,2,19,-,-,PUNCT,ORG_I
text1,2,20,Rates,Rates,PROPN,ORG_I
text1,2,21,(,(,PUNCT,
text1,2,22,PDF,PDF,PROPN,ORG_B
text1,2,23,),),PUNCT,
text1,2,24,als,al,NOUN,
text1,2,25,möglicher,möglicher,PROPN,
text1,2,26,Punkt,Punkt,PROPN,ORG_B
text1,2,27,.,.,PUNCT,
text1,3,1,Am,be,AUX,
text1,3,2,10,10,NUM,CARDINAL_B
text1,3,3,.,.,PUNCT,
text1,4,1,Oktober,oktober,NOUN,
text1,4,2,treffen,treffen,NOUN,
text1,4,3,sich,sich,ADJ,
text1,4,4,dann,dann,NOUN,
text1,4,5,die,die,VERB,
text1,4,6,Justiz-,Justiz-,PROPN,
text1,4,7,und,und,ADJ,
text1,4,8,Innenminister,innenminister,NOUN,NORP_B
text1,4,9,:,:,PUNCT,
text1,4,10,innen,innen,NOUN,
text1,4,11,der,der,PROPN,
