doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Hinter,Hinter,PROPN,
text1,1,2,netzpolitik.org,netzpolitik.org,PROPN,
text1,1,3,steht,steht,NOUN,
text1,1,4,ein,ein,PROPN,
text1,1,5,außergewöhnliches,außergewöhnliche,VERB,
text1,1,6,journalistisches,journalistische,NOUN,
text1,1,7,Projekt,Projekt,PROPN,GPE_B
text1,1,8,.,.,PUNCT,
text1,2,1,Denn,denn,NOUN,PERSON_B
text1,2,2,wir,wir,NOUN,
text1,2,3,tun,tun,NOUN,
text1,2,4,nicht,nicht,NOUN,
text1,2,5,so,so,ADV,
text1,2,6,",",",",PUNCT,
text1,2,7,als,al,NOUN,
text1,2,8,seien,seien,PROPN,
text1,2,9,wir,wir,PROPN,
text1,2,10,neutral,neutral,PROPN,
text1,2,11,",",",",PUNCT,
text1,2,12,sondern,sondern,ADJ,
text1,2,13,wir,wir,NOUN,
text1,2,14,machen,machen,PROPN,
text1,2,15,gemeinwohlorientierten,gemeinwohlorientierten,PROPN,
text1,2,16,Journalismus,Journalismus,PROPN,PERSON_B
text1,2,17,mit,mit,NOUN,
text1,2,18,Haltung,Haltung,PROPN,GPE_B
text1,2,19,.,.,PUNCT,
text1,3,1,Und,und,NOUN,
text1,3,2,wir,wir,NOUN,
text1,3,3,sind,sind,NOUN,
text1,3,4,spendenfinanziert,spendenfinanziert,NOUN,
text1,3,5,.,.,PUNCT,
text1,4,1,Deshalb,deshalb,ADJ,ORG_B
text1,4,2,gibts,gibt,NOUN,
text1,4,3,bei,bei,AUX,
text1,4,4,uns,un,VERB,
text1,4,5,auch,auch,ADJ,
text1,4,6,kein,kein,PROPN,
text1,4,7,Tracking,Tracking,PROPN,
text1,4,8,und,und,PROPN,
text1,4,9,keine,keine,NOUN,
text1,4,10,Paywall,Paywall,PROPN,
text1,4,11,.,.,PUNCT,
text1,5,1,Unsere,unsere,NOUN,ORG_B
text1,5,2,Inhalte,Inhalte,PROPN,
text1,5,3,sind,sind,VERB,
text1,5,4,frei,frei,ADV,
text1,5,5,für,für,NOUN,
text1,5,6,alle,alle,NOUN,
text1,5,7,.,.,PUNCT,
text3,1,1,Und,und,ADJ,
text3,1,2,das,das,PROPN,
text3,1,3,wirkt,wirkt,NOUN,
text3,1,4,",",",",PUNCT,
text3,1,5,wie,wie,PROPN,
text3,1,6,das,das,PROPN,PERSON_B
text3,1,7,Jahr,Jahr,PROPN,PERSON_I
text3,1,8,2024,2024,NUM,DATE_B
text3,1,9,zeigt,zeigt,PROPN,
text3,1,10,.,.,PUNCT,
text5,1,1,*,*,PUNCT,
text5,1,2,*,*,PUNCT,
text5,1,3,Wir,Wir,PROPN,
text5,1,4,kämpfen,kämpfen,PROPN,
text5,1,5,gegen,gegen,NOUN,
text5,1,6,staatliche,staatliche,NOUN,
text5,1,7,Überwachung,Überwachung,PROPN,PRODUCT_B
text5,1,8,und,und,PROPN,
text5,1,9,Repression,Repression,PROPN,
text5,1,10,.,.,PUNCT,
text5,2,1,*,*,PUNCT,
text5,2,2,*,*,PUNCT,
text5,2,3,Weil,Weil,PROPN,
text5,2,4,die,die,VERB,
text5,2,5,„,„,PUNCT,
text5,2,6,Law,Law,PROPN,WORK_OF_ART_B
text5,2,7,and,and,CCONJ,WORK_OF_ART_I
text5,2,8,Order“-Politik,order“-politik,NUM,WORK_OF_ART_I
text5,2,9,mit,mit,NOUN,WORK_OF_ART_I
text5,3,1,ihren,ihren,PROPN,
text5,3,2,Scheinlösungen,Scheinlösungen,PROPN,GPE_B
text5,3,3,die,die,VERB,
text5,3,4,Grund-,Grund-,PROPN,
text5,4,1,und,und,NOUN,
text5,4,2,Freiheitsrechte,Freiheitsrechte,PROPN,PERSON_B
text5,4,3,aller,aller,NOUN,
text5,4,4,schleift,schleift,NOUN,
text5,4,5,.,.,PUNCT,
text7,1,1,-,-,PUNCT,
text7,1,2,Wir,wir,ADJ,
text7,1,3,erzählen,erzählen,NOUN,
text7,1,4,die,die,VERB,
text7,1,5,Geschichten,Geschichten,PROPN,PERSON_B
text7,1,6,von,von,PROPN,PERSON_I
text7,1,7,Menschen,Menschen,PROPN,PERSON_I
text7,1,8,",",",",PUNCT,
text7,1,9,die,die,VERB,
text7,1,10,plötzlich,plötzlich,NOUN,
text7,1,11,ins,in,NOUN,
text7,1,12,Visier,Visier,PROPN,ORG_B
text7,1,13,des,des,NOUN,ORG_I
text7,1,14,Staates,Staates,PROPN,ORG_I
text7,1,15,geraten,geraten,VERB,
text7,1,16,.,.,PUNCT,
text7,2,1,Dafür,Dafür,PROPN,
text7,2,2,erhielt,erhielt,VERB,
text7,2,3,unser,unser,PROPN,
text7,2,4,Podcast,Podcast,PROPN,PRODUCT_B
text7,2,5,„,„,SYM,PRODUCT_I
text7,2,6,Systemeinstellungen,Systemeinstellungen,PROPN,PRODUCT_I
text7,2,7,“,"""",PUNCT,
text7,2,8,einen,einen,NOUN,
text7,2,9,Grimme,Grimme,PROPN,ORG_B
text7,2,10,Online,Online,PROPN,ORG_I
text7,2,11,Award,Award,PROPN,ORG_I
text7,2,12,.,.,PUNCT,
text8,1,1,-,-,PUNCT,
text8,1,2,Wir,Wir,PROPN,
text8,1,3,weisen,weisen,VERB,
text8,1,4,frühzeitig,frühzeitig,PROPN,
text8,1,5,auf,auf,PROPN,
text8,1,6,die,die,VERB,
text8,1,7,Gefahren,Gefahren,PROPN,ORG_B
text8,1,8,des,des,PROPN,ORG_I
text8,2,1,„,„,PUNCT,
text8,2,2,Sicherheitspakets,Sicherheitspakets,PROPN,
text8,2,3,“,"""",PUNCT,
text8,2,4,der,der,ADJ,
text8,2,5,vermeintlichen,vermeintlichen,PROPN,
text8,2,6,Fortschrittskoalition,Fortschrittskoalition,PROPN,
text8,2,7,hin,hin,VERB,
text8,2,8,.,.,PUNCT,
text8,3,1,Hier,hi,ADJ,
text8,3,2,sind,sind,NOUN,
text8,3,3,wir,wir,NOUN,
text8,3,4,eine,eine,NOUN,
text8,3,5,der,der,PROPN,
text8,3,6,wenigen,wenigen,NOUN,
text8,3,7,kritischen,kritischen,PROPN,PERSON_B
text8,3,8,Stimmen,Stimmen,PROPN,PERSON_I
text8,3,9,in,in,ADP,
text8,3,10,der,der,PROPN,ORG_B
text8,3,11,deutschen,deutschen,PROPN,
text8,3,12,Medienlandschaft,Medienlandschaft,PROPN,PRODUCT_B
text8,3,13,.,.,PUNCT,
text9,1,1,-,-,PUNCT,
text9,1,2,Wir,Wir,PROPN,
text9,1,3,leaken,leaken,PROPN,
text9,1,4,Gesetzentwürfe,Gesetzentwürfe,PROPN,PERSON_B
text9,1,5,",",",",PUNCT,
text9,1,6,etwa,etwa,NOUN,
text9,1,7,zur,zur,PROPN,
text9,1,8,Reform,Reform,PROPN,ORG_B
text9,1,9,des,des,PROPN,ORG_I
text9,1,10,Computerstrafrechts,Computerstrafrechts,PROPN,ORG_I
text9,1,11,",",",",PUNCT,
text9,1,12,zum,zum,NOUN,PERSON_B
text9,1,13,Quick,Quick,PROPN,PERSON_I
text9,1,14,-,-,PUNCT,PERSON_I
text9,1,15,Freeze,freeze,NOUN,PERSON_I
text9,1,16,-,-,PUNCT,PERSON_I
text9,1,17,Vorschlag,Vorschlag,PROPN,PERSON_I
text9,1,18,und,und,PROPN,
text9,1,19,zum,zum,NOUN,CARDINAL_B
text9,1,20,BKA,BKA,PROPN,ORG_B
text9,1,21,-,-,PUNCT,ORG_I
text9,1,22,Gesetz,Gesetz,PROPN,ORG_I
text9,1,23,.,.,PUNCT,
text9,2,1,Wir,wir,ADJ,
text9,2,2,informieren,informieren,NOUN,
text9,2,3,so,so,ADV,
text9,2,4,frühzeitig,frühzeitig,PROPN,
text9,2,5,über,über,PROPN,
text9,2,6,Entwicklungen,Entwicklungen,PROPN,ORG_B
text9,2,7,und,und,PROPN,
text9,2,8,ermöglichen,ermöglichen,ADJ,
text9,2,9,Debatten,Debatten,PROPN,
text9,2,10,.,.,PUNCT,
text10,1,1,-,-,PUNCT,
text10,1,2,Wir,Wir,PROPN,
text10,1,3,kämpfen,kämpfen,PROPN,
text10,1,4,gegen,gegen,PROPN,
text10,1,5,alte,alte,PROPN,PERSON_B
text10,1,6,Zombies,Zombies,PROPN,PERSON_I
text10,1,7,wie,wie,NOUN,
text10,1,8,die,die,VERB,
text10,1,9,Vorratsdatenspeicherung,Vorratsdatenspeicherung,PROPN,PERSON_B
text10,1,10,.,.,PUNCT,
text10,2,1,Und,und,NOUN,
text10,2,2,auch,auch,ADJ,
text10,2,3,gegen,gegen,NOUN,
text10,2,4,neue,neue,NOUN,
text10,2,5,Untote,Untote,PROPN,ORG_B
text10,2,6,machen,machen,PROPN,
text10,2,7,wir,wir,NOUN,
text10,2,8,mobil,mobil,NOUN,
text10,2,9,:,:,PUNCT,
text10,2,10,Mit,mit,NOUN,ORG_B
text10,2,11,mehr,mehr,NOUN,
text10,2,12,als,al,VERB,
text10,2,13,60,60,NUM,CARDINAL_B
text10,2,14,Beiträgen,Beiträgen,PROPN,ORG_B
text10,2,15,berichten,berichten,NOUN,
text10,2,16,wir,wir,PROPN,
text10,2,17,allein,allein,PROPN,
text10,2,18,diesem,diesem,PROPN,
text10,2,19,Jahr,Jahr,PROPN,PERSON_B
text10,2,20,über,über,NOUN,
text10,2,21,die,die,PROPN,
text10,2,22,EU,EU,PROPN,ORG_B
text10,2,23,-,-,PUNCT,ORG_I
text10,2,24,Verhandlungen,Verhandlungen,PROPN,ORG_I
text10,2,25,zur,zur,NOUN,
text10,2,26,Chatkontrolle,Chatkontrolle,PROPN,
text10,2,27,.,.,PUNCT,
text10,3,1,Wir,Wir,PROPN,
text10,3,2,entlarven,entlarven,PROPN,
text10,3,3,frühzeitig,frühzeitig,PROPN,
text10,3,4,die,die,PROPN,
text10,3,5,Argumentation,Argumentation,PROPN,
text10,3,6,",",",",PUNCT,
text10,3,7,wonach,wonach,ADJ,
text10,3,8,Verschlüsselung,Verschlüsselung,PROPN,PERSON_B
text10,3,9,gebrochen,gebrochen,NOUN,
text10,3,10,werden,werden,PROPN,
text10,3,11,muss,muss,PROPN,
text10,3,12,",",",",PUNCT,
text10,3,13,um,um,INTJ,
text10,3,14,Kinder,Kinder,PROPN,NORP_B
text10,3,15,zu,zu,ADJ,
text10,3,16,schützen,schützen,NOUN,
text10,3,17,.,.,PUNCT,
text10,4,1,Wir,Wir,PROPN,
text10,4,2,decken,decken,PROPN,
text10,4,3,Lobbyverstrickungen,Lobbyverstrickungen,PROPN,
text10,4,4,auf,auf,PROPN,
text10,4,5,.,.,PUNCT,
text10,5,1,Und,und,NOUN,
text10,5,2,wir,wir,NOUN,
text10,5,3,zeigen,zeigen,NOUN,
text10,5,4,",",",",PUNCT,
text10,5,5,wie,wie,PROPN,
text10,5,6,Kinder,Kinder,PROPN,NORP_B
text10,5,7,besser,besser,PROPN,
text10,5,8,geschützt,geschützt,PROPN,
text10,5,9,werden,werden,PROPN,
text10,5,10,können,können,PROPN,ORG_B
text10,5,11,",",",",PUNCT,
text10,5,12,ohne,ohne,VERB,
text10,5,13,die,die,NOUN,
text10,5,14,die,die,VERB,
text10,5,15,Grundrechte,Grundrechte,PROPN,PERSON_B
text10,5,16,aller,aller,NOUN,
text10,5,17,anzugreifen,anzugreifen,PROPN,
text10,5,18,.,.,PUNCT,
text11,1,1,-,-,PUNCT,
text11,1,2,Wir,Wir,PROPN,
text11,1,3,legen,legen,NOUN,
text11,1,4,offen,offen,PROPN,
text11,1,5,",",",",PUNCT,
text11,1,6,wie,wie,PROPN,
text11,1,7,das,das,PROPN,ORG_B
text11,1,8,Bundesinnenministerium,Bundesinnenministerium,PROPN,ORG_I
text11,1,9,das,das,PROPN,ORG_I
text11,1,10,von,von,PROPN,ORG_I
text11,1,11,der,der,NOUN,ORG_I
text11,1,12,Ampel,Ampel,PROPN,ORG_I
text11,1,13,-,-,PUNCT,ORG_I
text11,1,14,Koalition,Koalition,PROPN,ORG_I
text11,1,15,vereinbarte,vereinbarte,NOUN,
text11,2,1,„,„,PUNCT,
text11,2,2,Recht,Recht,PROPN,ORG_B
text11,2,3,auf,auf,PROPN,
text11,2,4,Verschlüsselung,Verschlüsselung,PROPN,PERSON_B
text11,2,5,“,"""",PUNCT,
text11,2,6,blockiert,blockiert,X,
text11,2,7,.,.,PUNCT,
text11,3,1,Und,und,NOUN,
text11,3,2,wir,wir,NOUN,
text11,3,3,bringen,bringen,NOUN,
text11,3,4,Licht,Licht,PROPN,ORG_B
text11,3,5,ins,in,NOUN,
text11,3,6,Dunkel,Dunkel,PROPN,PERSON_B
text11,3,7,",",",",PUNCT,
text11,3,8,wenn,wenn,PROPN,
text11,3,9,der,der,PROPN,
text11,3,10,Sicherheitsapparat,Sicherheitsapparat,PROPN,NORP_B
text11,3,11,unter,unter,NOUN,
text11,3,12,dem,dem,PROPN,ORG_B
text11,3,13,Motto,Motto,PROPN,ORG_I
text11,3,14,„,„,PUNCT,ORG_I
text11,3,15,Going,go,VERB,
text11,3,16,Dark,Dark,PROPN,
text11,3,17,“,"""",PUNCT,
text11,3,18,gegen,gegen,NOUN,
text11,3,19,Verschlüsselung,Verschlüsselung,PROPN,PRODUCT_B
text11,3,20,mobil,mobil,PROPN,
text11,3,21,macht,macht,NOUN,
text11,3,22,.,.,PUNCT,
text13,1,1,*,*,PUNCT,
text13,1,2,*,*,PUNCT,
text13,1,3,Wir,wir,ADJ,
text13,1,4,*,*,NOUN,
text13,1,5,*,*,PUNCT,
text13,1,6,*,*,PUNCT,
text13,1,7,*,*,PUNCT,
text13,1,8,berichten,berichten,NOUN,
text13,1,9,*,*,NOUN,
text13,1,10,*,*,PUNCT,
text13,1,11,*,*,PUNCT,
text13,1,12,*,*,NOUN,
text13,1,13,über,über,ADJ,
text13,1,14,die,die,NOUN,
text13,1,15,Ausspähung,Ausspähung,PROPN,ORG_B
text13,1,16,durch,durch,NOUN,
text13,1,17,*,*,PUNCT,
text13,1,18,*,*,PUNCT,
text13,1,19,*,*,PUNCT,
text13,1,20,*,*,NOUN,
text13,1,21,Unternehmen,Unternehmen,PROPN,
text13,1,22,.,.,PUNCT,
text13,2,1,*,*,PUNCT,
text13,2,2,*,*,PUNCT,
text13,3,1,Wir,Wir,PROPN,
text13,3,2,decken,decken,VERB,
text13,3,3,auf,auf,PROPN,
text13,3,4,",",",",PUNCT,
text13,3,5,wie,wie,PROPN,
text13,3,6,sie,sie,PROPN,
text13,3,7,unsere,unsere,PROPN,
text13,3,8,Privatsphäre,Privatsphäre,PROPN,PERSON_B
text13,3,9,ausbeuten,ausbeuten,AUX,
text13,3,10,und,und,PROPN,
text13,3,11,kämpfen,kämpfen,PROPN,
text13,3,12,gegen,gegen,PROPN,
text13,3,13,werbebasierte,werbebasierte,PROPN,
text13,3,14,Massenüberwachung,Massenüberwachung,PROPN,PERSON_B
text13,3,15,:,:,PUNCT,
text15,1,1,-,-,PUNCT,
text15,1,2,Wir,Wir,PROPN,
text15,1,3,zeigen,zeigen,NOUN,
text15,1,4,",",",",PUNCT,
text15,1,5,wie,wie,PROPN,
text15,1,6,der,der,PROPN,
text15,1,7,unkontrollierte,unkontrollierte,PROPN,
text15,1,8,Datenhandel,Datenhandel,PROPN,PERSON_B
text15,1,9,der,der,PROPN,PERSON_I
text15,1,10,Online,Online,PROPN,PERSON_I
text15,1,11,-,-,PUNCT,PERSON_I
text15,1,12,Werbeindustrie,Werbeindustrie,PROPN,PERSON_I
text15,1,13,Millionen,Millionen,PROPN,PERSON_I
text15,1,14,von,von,PROPN,PERSON_I
text15,1,15,Menschen,Menschen,PROPN,PERSON_I
text15,1,16,gefährdet,gefährdet,NOUN,
text15,1,17,.,.,PUNCT,
text15,2,1,Auch,auch,ADJ,
text15,2,2,dafür,dafür,NOUN,
text15,2,3,gab,gab,VERB,
text15,2,4,es,es,X,
text15,2,5,in,in,ADP,
text15,2,6,diesem,diesem,PROPN,
text15,2,7,Jahr,Jahr,PROPN,PERSON_B
text15,2,8,einen,einen,NOUN,
text15,2,9,Grimme,Grimme,PROPN,FAC_B
text15,2,10,Online,Online,PROPN,FAC_I
text15,2,11,Award,Award,PROPN,FAC_I
text15,2,12,.,.,PUNCT,
text16,1,1,-,-,PUNCT,
text16,1,2,Wir,Wir,PROPN,
text16,1,3,berichten,berichten,NOUN,
text16,1,4,über,über,PROPN,
text16,1,5,einen,einen,NOUN,
text16,1,6,belgischen,belgischen,NOUN,
text16,2,1,Datenhändler,Datenhändler,PROPN,ORG_B
text16,2,2,",",",",PUNCT,
text16,2,3,der,der,PROPN,
text16,2,4,Fluggastdaten,Fluggastdaten,PROPN,PERSON_B
text16,2,5,von,von,PROPN,PERSON_I
text16,2,6,Tausenden,Tausenden,PROPN,PERSON_I
text16,3,1,i,I,PRON,
text16,3,2,m,m,VERB,
text16,3,3,Netz,Netz,PROPN,PERSON_B
text16,3,4,veröffentlicht,veröffentlicht,NOUN,
text16,3,5,hat,hat,NOUN,
text16,3,6,.,.,PUNCT,
text16,4,1,Nach,Nach,PROPN,
text16,4,2,unseren,unseren,ADJ,
text16,4,3,Berichten,Berichten,PROPN,
text16,4,4,ist,ist,AUX,
text16,4,5,die,die,VERB,
text16,4,6,Seite,Seite,PROPN,ORG_B
text16,4,7,aus,aus,PROPN,ORG_I
text16,4,8,dem,dem,INTJ,ORG_I
text16,4,9,Netz,Netz,PROPN,PERSON_B
text16,4,10,verschwunden,verschwunden,NOUN,
text16,4,11,.,.,PUNCT,
text17,1,1,-,-,PUNCT,
text17,1,2,Wir,Wir,PROPN,
text17,1,3,zeigen,zeigen,NOUN,
text17,1,4,demokratische,demokratische,PROPN,ORG_B
text17,1,5,Alternativen,Alternativen,PROPN,ORG_I
text17,1,6,zur,zur,PROPN,
text17,1,7,kommerziellen,kommerziellen,PROPN,
text17,1,8,Plattformisierung,Plattformisierung,PROPN,ORG_B
text17,1,9,des,des,PROPN,ORG_I
text17,1,10,Internets,Internets,PROPN,ORG_I
text17,1,11,auf,auf,PROPN,
text17,1,12,.,.,PUNCT,
text17,2,1,Dazu,Dazu,PROPN,PERSON_B
text17,2,2,veröffentlichen,veröffentlichen,PROPN,
text17,2,3,wir,wir,NOUN,
text17,2,4,Perspektiven,Perspektiven,PROPN,ORG_B
text17,2,5,",",",",PUNCT,
text17,2,6,die,die,VERB,
text17,2,7,sonst,sonst,NOUN,
text17,2,8,wenig,wenig,NOUN,
text17,2,9,Aufmerksamkeit,Aufmerksamkeit,PROPN,ORG_B
text17,2,10,bekommen,bekommen,NOUN,
text17,2,11,.,.,PUNCT,
text18,1,1,-,-,PUNCT,
text18,1,2,Wir,Wir,PROPN,
text18,1,3,lassen,lassen,PROPN,
text18,1,4,frühzeitig,frühzeitig,PROPN,
text18,1,5,die,die,VERB,
text18,2,1,heiße,heiße,NOUN,
text18,2,2,Luft,Luft,PROPN,PERSON_B
text18,2,3,aus,aus,VERB,PERSON_I
text18,2,4,dem,dem,ADJ,PERSON_I
text18,2,5,KI,KI,PROPN,ORG_B
text18,2,6,-,-,PUNCT,ORG_I
text18,2,7,Hype,Hype,PROPN,ORG_I
text18,2,8,",",",",PUNCT,
text18,2,9,zeigen,zeigen,PROPN,PERSON_B
text18,2,10,stattdessen,stattdessen,PROPN,PERSON_I
text18,2,11,deren,deren,PROPN,
text18,2,12,Schattenseiten,Schattenseiten,PROPN,
text18,2,13,auf,auf,PROPN,
text18,2,14,",",",",PUNCT,
text18,2,15,geben,geben,PROPN,
text18,2,16,kritischen,kritischen,PROPN,
text18,2,17,Stimmen,Stimmen,PROPN,PERSON_B
text18,2,18,Raum,Raum,PROPN,PERSON_I
text18,2,19,und,und,VERB,
text18,2,20,arbeiten,arbeiten,NOUN,
text18,2,21,uns,uns,NOUN,
text18,2,22,durch,durch,NOUN,
text18,2,23,die,die,VERB,
text18,2,24,KI,KI,PROPN,ORG_B
text18,2,25,-,-,PUNCT,ORG_I
text18,2,26,Verordnung,Verordnung,PROPN,ORG_I
text18,2,27,.,.,PUNCT,
text20,1,1,*,*,PUNCT,
text20,1,2,*,*,PUNCT,
text20,1,3,Wir,Wir,PROPN,
text20,1,4,kämpfen,kämpfen,NOUN,
text20,1,5,für,für,PROPN,
text20,1,6,*,*,PUNCT,
text20,1,7,*,*,PUNCT,
text20,1,8,*,*,PUNCT,
text20,1,9,*,*,AUX,
text20,1,10,den,den,NOUN,
text20,1,11,Verbraucher,verbraucher,NOUN,
text20,1,12,:,:,PUNCT,
text20,1,13,innenschutz,innenschutz,ADJ,
text20,1,14,*,*,NOUN,
text20,1,15,*,*,PUNCT,
text20,1,16,–,–,PUNCT,
text20,1,17,ganz,ganz,PROPN,
text20,1,18,konkret,konkret,NOUN,
text20,1,19,und,und,VERB,
text20,1,20,für,für,NOUN,
text20,1,21,alle,alle,NOUN,
text20,1,22,:,:,PUNCT,
text22,1,1,-,-,PUNCT,
text22,1,2,Wir,wir,ADJ,
text22,1,3,liefern,liefern,NOUN,
text22,1,4,Anleitungen,Anleitungen,PROPN,PERSON_B
text22,1,5,zur,zur,PROPN,
text22,1,6,digitalen,digitalen,PROPN,
text22,1,7,Selbstverteidigung,Selbstverteidigung,PROPN,ORG_B
text22,1,8,.,.,PUNCT,
text22,2,1,Damit,Damit,PROPN,ORG_B
text22,2,2,sich,sich,PROPN,
text22,2,3,unsere,unsere,NOUN,
text22,2,4,Leser,Leser,PROPN,PERSON_B
text22,2,5,:,:,PUNCT,
text22,2,6,innen,innen,NOUN,PERSON_B
text22,2,7,besser,besser,PROPN,PERSON_I
text22,2,8,gegen,gegen,NOUN,PERSON_B
text22,2,9,Überwachung,Überwachung,PROPN,PERSON_I
text22,2,10,und,und,PROPN,
text22,2,11,Ausspähung,Ausspähung,PROPN,ORG_B
text22,2,12,schützen,schützen,NOUN,
text22,2,13,können,können,NOUN,
text22,2,14,.,.,PUNCT,
text23,1,1,-,-,PUNCT,
text23,1,2,Wir,wir,ADJ,
text23,1,3,geben,geben,NOUN,
text23,1,4,Menschen,Menschen,PROPN,
text23,1,5,eine,eine,NOUN,
text23,1,6,Entscheidungshilfe,Entscheidungshilfe,PROPN,
text23,1,7,",",",",PUNCT,
text23,1,8,wenn,wenn,PROPN,
