doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,
text1,1,2,Kehrtwende,Kehrtwende,PROPN,
text1,1,3,kam,kam,PROPN,
text1,1,4,so,so,SCONJ,
text1,1,5,plötzlich,plötzlich,NOUN,
text1,1,6,wie,wie,PROPN,
text1,1,7,überraschend,überraschend,NOUN,
text1,1,8,:,:,PUNCT,
text1,2,1,Bis,Bis,PROPN,ORG_B
text1,2,2,auf,auf,PROPN,ORG_I
text1,2,3,Weiteres,Weiteres,PROPN,ORG_I
text1,2,4,plant,plant,NOUN,
text1,2,5,die,die,VERB,
text1,2,6,britische,britische,NOUN,
text1,2,7,Regierung,Regierung,PROPN,GPE_B
text1,2,8,offenbar,offenbar,ADJ,
text1,2,9,nicht,nicht,NOUN,
text1,2,10,mehr,mehr,NOUN,
text1,2,11,",",",",PUNCT,
text1,2,12,eine,eine,NOUN,
text1,2,13,sogenannte,sogenannte,NOUN,
text1,2,14,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,2,15,auf,auf,PROPN,
text1,2,16,den,den,VERB,
text1,2,17,Inseln,Inseln,PROPN,
text1,2,18,einzuführen,einzuführen,NOUN,
text1,2,19,.,.,PUNCT,
text1,3,1,Eine,eine,NOUN,
text1,3,2,automatisierte,automatisierte,NOUN,
text1,3,3,Inhaltekontrolle,Inhaltekontrolle,PROPN,GPE_B
text1,3,4,",",",",PUNCT,
text1,3,5,die,die,VERB,
text1,3,6,Darstellungen,Darstellungen,PROPN,PERSON_B
text1,3,7,von,von,PROPN,PERSON_I
text1,3,8,Kindesmissbrauch,Kindesmissbrauch,PROPN,PERSON_I
text1,3,9,aufspüren,aufspüren,VERB,PERSON_B
text1,3,10,soll,soll,PROPN,PERSON_I
text1,3,11,",",",",PUNCT,
text1,3,12,bleibe,bleibe,VERB,
text1,3,13,so,so,ADV,
text1,3,14,lange,lange,ADJ,
text1,3,15,ausgesetzt,ausgesetzt,PROPN,
text1,3,16,",",",",PUNCT,
text1,3,17,bis,bis,CCONJ,
text1,3,18,sie,sie,PROPN,
text1,3,19,„,„,PUNCT,
text1,3,20,technisch,technisch,PROPN,
text1,3,21,machbar,machbar,NOUN,
text1,3,22,“,"""",PUNCT,
text1,3,23,ist,ist,PROPN,
text1,3,24,",",",",PUNCT,
text1,3,25,berichtet,berichtet,NOUN,
text1,3,26,die,die,VERB,
text1,3,27,Financial,Financial,PROPN,ORG_B
text1,3,28,Times,Times,PROPN,ORG_I
text1,3,29,.,.,PUNCT,
text3,1,1,Die,die,VERB,
text3,1,2,britische,britische,PROPN,
text3,1,3,Variante,Variante,PROPN,PERSON_B
text3,1,4,der,der,NOUN,PERSON_I
text3,1,5,Chatkontrolle,Chatkontrolle,PROPN,PERSON_I
text3,1,6,ist,ist,NOUN,
text3,1,7,Teil,Teil,PROPN,
text3,1,8,der,der,NOUN,
text3,1,9,Online,Online,PROPN,
text3,1,10,Safety,Safety,PROPN,
text3,1,11,Bill,Bill,PROPN,
text3,1,12,.,.,PUNCT,
text3,2,1,Das,Das,PROPN,
text3,2,2,seit,seit,NOUN,
text3,2,3,Jahren,Jahren,PROPN,PERSON_B
text3,2,4,verhandelte,verhandelte,VERB,
text3,2,5,Gesetz,Gesetz,PROPN,PERSON_B
text3,2,6,befindet,befindet,NOUN,
text3,2,7,sich,sich,PRON,
text3,2,8,unmittelbar,unmittelbar,ADJ,
text3,2,9,vor,vor,NOUN,
text3,2,10,der,der,PROPN,
text3,2,11,Verabschiedung,Verabschiedung,PROPN,PERSON_B
text3,2,12,",",",",PUNCT,
text3,2,13,heute,heute,NOUN,
text3,2,14,beginnt,beginnt,PROPN,
text3,2,15,die,die,VERB,
text3,2,16,dritte,dritte,PROPN,
text3,2,17,und,und,PROPN,
text3,2,18,abschließende,abschließende,NOUN,
text3,2,19,Lesung,Lesung,PROPN,PERSON_B
text3,2,20,i,i,PROPN,
text3,2,21,m,m,PROPN,
text3,2,22,Oberhaus,Oberhaus,PROPN,
text3,2,23,.,.,PUNCT,
text3,3,1,Sie,Sie,PROPN,ORG_B
text3,3,2,soll,soll,PROPN,
text3,3,3,vor,vor,VERB,
text3,3,4,allem,allem,NOUN,
text3,3,5,Kinder,Kinder,PROPN,PERSON_B
text3,3,6,vor,vor,VERB,
text3,3,7,„,„,PUNCT,
text3,3,8,schädlichen,schädlichen,ADJ,
text3,3,9,Inhalten,Inhalten,PROPN,
text3,3,10,“,"""",PUNCT,
text3,3,11,i,I,PRON,
text3,3,12,m,m,VERB,
text3,3,13,Internet,internet,NOUN,
text3,3,14,schützen,schützen,NOUN,
text3,3,15,und,und,NOUN,
text3,3,16,sieht,sieht,NOUN,
text3,3,17,verschärfte,verschärfte,NOUN,
text3,3,18,Sorgfaltspflichten,Sorgfaltspflichten,PROPN,
text3,3,19,für,für,NOUN,
text3,3,20,Online,Online,PROPN,ORG_B
text3,3,21,-,-,PUNCT,ORG_I
text3,3,22,Dienste,Dienste,PROPN,ORG_I
text3,3,23,",",",",PUNCT,
text3,3,24,weitflächige,weitflächige,VERB,
text3,3,25,Alterskontrollen,Alterskontrollen,PROPN,PERSON_B
text3,3,26,und,und,PROPN,
text3,3,27,urspünglich,urspünglich,NOUN,
text3,3,28,auch,auch,ADJ,
text3,3,29,eine,eine,NOUN,
text3,3,30,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,3,31,vor,vor,NOUN,
text3,3,32,.,.,PUNCT,
text5,1,1,#,#,SYM,MONEY_B
text5,1,2,#,#,NOUN,MONEY_I
text5,1,3,Massenhafte,Massenhafte,PROPN,MONEY_I
text5,1,4,Überwachung,Überwachung,PROPN,MONEY_I
text5,1,5,verletzt,verletzt,NOUN,
text5,1,6,Grundrechte,Grundrechte,PROPN,PERSON_B
text7,1,1,Die,die,VERB,
text7,1,2,massenhafte,massenhafte,NOUN,
text7,1,3,und,und,NOUN,
text7,1,4,automatisierte,automatisierte,NOUN,
text7,1,5,Überwachung,Überwachung,PROPN,PRODUCT_B
text7,1,6,sogar,sogar,NOUN,
text7,1,7,verschlüsselter,verschlüsselter,NOUN,
text7,1,8,Messenger,Messenger,PROPN,PERSON_B
text7,1,9,-,-,PUNCT,PERSON_I
text7,1,10,Nachrichten,Nachrichten,PROPN,PERSON_I
text7,1,11,steht,steht,NOUN,
text7,1,12,jedoch,jedoch,PROPN,PERSON_B
text7,1,13,von,von,PROPN,PERSON_I
text7,1,14,Beginn,Beginn,PROPN,PERSON_I
text7,1,15,an,an,DET,
text7,1,16,unter,unter,NOUN,
text7,1,17,starker,starker,NOUN,
text7,1,18,Kritik,Kritik,PROPN,PRODUCT_B
text7,1,19,.,.,PUNCT,
text7,2,1,Denn,Denn,PROPN,
text7,2,2,IT,IT,PROPN,
text7,2,3,-,-,PUNCT,
text7,2,4,Sicherheitsexpert,Sicherheitsexpert,PROPN,
text7,2,5,:,:,PUNCT,
text7,2,6,innen,innen,NOUN,
text7,2,7,und,und,NOUN,
text7,2,8,Jurist,jurist,NOUN,NORP_B
text7,2,9,:,:,PUNCT,
text7,2,10,innen,innen,NOUN,
text7,2,11,sind,sind,NOUN,
text7,2,12,sich,sich,PROPN,
text7,2,13,einig,einig,PROPN,
text7,2,14,:,:,PUNCT,
text7,2,15,Der,Der,PROPN,PERSON_B
text7,2,16,Ansatz,Ansatz,PROPN,PERSON_I
text7,2,17,funktioniert,funktioniert,ADJ,
text7,2,18,weder,weder,NOUN,
text7,2,19,technisch,technisch,PROPN,
text7,2,20,zuverlässig,zuverlässig,PROPN,
text7,2,21,noch,noch,PROPN,
text7,2,22,ist,ist,PROPN,
text7,2,23,er,er,INTJ,
text7,2,24,mit,mit,VERB,
text7,2,25,Grundrechten,Grundrechten,PROPN,PERSON_B
text7,2,26,vereinbar,vereinbar,NOUN,
text7,2,27,",",",",PUNCT,
text7,2,28,da,da,PROPN,
text7,2,29,anlasslos,anlasslos,X,
text7,2,30,und,und,PROPN,
text7,2,31,massenhaft,massenhaft,PROPN,
text7,2,32,die,die,VERB,
text7,2,33,Privatsphäre,Privatsphäre,PROPN,PERSON_B
text7,2,34,verletzt,verletzt,PROPN,
text7,2,35,wird,wird,NOUN,
text7,2,36,.,.,PUNCT,
text7,3,1,Einige,Einige,PROPN,PERSON_B
text7,3,2,prominente,prominente,PROPN,
text7,3,3,Anbieter,Anbieter,PROPN,PERSON_B
text7,3,4,",",",",PUNCT,
text7,3,5,darunter,darunter,ADJ,
text7,3,6,WhatsApp,WhatsApp,PROPN,ORG_B
text7,3,7,und,und,PROPN,
text7,3,8,Signal,Signal,PROPN,ORG_B
text7,3,9,",",",",PUNCT,
text7,3,10,haben,haben,NOUN,
text7,3,11,bereits,bereit,VERB,
text7,3,12,angekündigt,angekündigt,PROPN,
text7,3,13,",",",",PUNCT,
text7,3,14,sich,sich,SCONJ,
text7,3,15,notfalls,notfall,NOUN,
text7,3,16,aus,aus,ADP,ORG_B
text7,3,17,dem,dem,ADJ,ORG_I
text7,3,18,britischen,britischen,PROPN,
text7,4,1,Markt,Markt,PROPN,LOC_B
text7,4,2,zurückzuziehen,zurückzuziehen,ADJ,LOC_I
text7,4,3,oder,oder,NOUN,
text7,4,4,es,es,PROPN,
text7,4,5,auf,auf,PROPN,
text7,4,6,einen,einen,NOUN,
text7,4,7,Rauswurf,rauswurf,ADJ,PRODUCT_B
text7,4,8,ankommen,ankomman,NOUN,
text7,4,9,zu,zu,PROPN,
text7,4,10,lassen,lassen,PROPN,
text7,4,11,.,.,PUNCT,
text9,1,1,Die,die,VERB,
text9,1,2,einstimmige,einstimmige,ADJ,
text9,1,3,Kritik,Kritik,PROPN,
text9,1,4,hat,hat,NOUN,
text9,1,5,offenkundig,offenkundig,NOUN,
text9,1,6,Spuren,Spuren,PROPN,PERSON_B
text9,1,7,hinterlassen,hinterlassen,NOUN,
text9,1,8,.,.,PUNCT,
text9,2,1,„,„,NOUN,
text9,2,2,Eine,Eine,PROPN,PERSON_B
text9,2,3,Anordnung,Anordnung,PROPN,PERSON_I
text9,2,4,kann,kann,NOUN,PERSON_I
text9,2,5,nur,nur,VERB,
text9,2,6,erfolgen,erfolgen,NOUN,
text9,2,7,",",",",PUNCT,
text9,2,8,wenn,wenn,PROPN,
text9,2,9,dies,die,VERB,
text9,2,10,technisch,technisch,PROPN,
text9,2,11,machbar,machbar,NOUN,
text9,2,12,ist,ist,NOUN,
text9,2,13,und,und,PROPN,
text9,2,14,die,die,VERB,
text9,2,15,Technologie,Technologie,PROPN,ORG_B
text9,2,16,nachweislich,nachweislich,NOUN,
text9,2,17,Mindeststandards,Mindeststandards,PROPN,
text9,2,18,an,an,DET,
text9,2,19,Genauigkeit,Genauigkeit,PROPN,GPE_B
