doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Ursula,Ursula,PROPN,PERSON_B
text1,1,2,von,von,PROPN,PERSON_I
text1,1,3,der,der,NOUN,PERSON_I
text1,1,4,Leyen,Leyen,PROPN,GPE_B
text1,1,5,ist,ist,NOUN,
text1,1,6,als,al,VERB,
text1,1,7,Präsidentin,Präsidentin,PROPN,ORG_B
text1,1,8,der,der,NOUN,
text1,1,9,EU,EU,PROPN,ORG_B
text1,1,10,-,-,PUNCT,ORG_I
text1,1,11,Kommission,Kommission,PROPN,ORG_I
text1,1,12,schon,schon,NOUN,
text1,1,13,wiedergewählt,wiedergewählt,NOUN,
text1,1,14,.,.,PUNCT,
text1,2,1,Nun,Nun,PROPN,
text1,2,2,geht,geht,VERB,
text1,2,3,es,es,X,
text1,2,4,um,um,INTJ,
text1,2,5,ihr,ihr,PROPN,
text1,2,6,Team,Team,PROPN,
text1,2,7,",",",",PUNCT,
text1,2,8,die,die,VERB,
text1,2,9,Kommissar,Kommissar,PROPN,ORG_B
text1,2,10,:,:,PUNCT,
text1,2,11,innen,innen,NOUN,
text1,2,12,.,.,PUNCT,
text1,3,1,Sie,Sie,PROPN,
text1,3,2,sind,sind,NOUN,
text1,3,3,so,so,ADV,
text1,3,4,etwas,etwa,VERB,
text1,3,5,wie,wie,PROPN,
text1,3,6,die,die,PROPN,
text1,3,7,Minister,Minister,PROPN,
text1,3,8,der,der,PROPN,PERSON_B
text1,3,9,EU,EU,PROPN,PERSON_I
text1,3,10,.,.,PUNCT,
text1,4,1,Jedes,Jedes,PROPN,PERSON_B
text1,4,2,Land,Land,PROPN,PERSON_I
text1,4,3,",",",",PUNCT,
text1,4,4,außer,außer,PROPN,
text1,4,5,Deutschland,Deutschland,PROPN,GPE_B
text1,4,6,",",",",PUNCT,
text1,4,7,das,das,PROPN,ORG_B
text1,4,8,schon,schon,PROPN,
text1,4,9,von,von,PROPN,PERSON_B
text1,4,10,der,der,PROPN,PERSON_I
text1,4,11,Leyen,Leyen,PROPN,GPE_B
text1,4,12,stellt,stellt,PROPN,
text1,4,13,",",",",PUNCT,
text1,4,14,bekommt,bekommt,PROPN,
text1,4,15,einen,einen,PROPN,
text1,4,16,Posten,Posten,PROPN,ORG_B
text1,4,17,.,.,PUNCT,
text1,5,1,Da,da,AUX,
text1,5,2,es,es,X,
text1,5,3,aber,aber,PROPN,
text1,5,4,keine,keine,NOUN,
text1,5,5,26,26,NUM,CARDINAL_B
text1,5,6,einflussreichen,einflussreichen,ADV,
text1,5,7,Posten,Posten,PROPN,NORP_B
text1,5,8,gibt,gibt,NOUN,
text1,5,9,",",",",PUNCT,
text1,5,10,sind,sind,NOUN,
text1,5,11,die,die,VERB,
text1,5,12,Kompetenzen,Kompetenzen,PROPN,PERSON_B
text1,5,13,der,der,NOUN,PERSON_I
text1,5,14,einzelnen,einzelnen,NOUN,
text1,5,15,Ämter,Ämter,PROPN,
text1,5,16,unterschiedlich,unterschiedlich,PROPN,
text1,5,17,stark,stark,PROPN,
text1,5,18,ausgeprägt,ausgeprägt,PROPN,
text1,5,19,.,.,PUNCT,
text3,1,1,In,in,ADP,
text3,1,2,diesem,diesem,PROPN,
text3,1,3,Prozess,Prozess,PROPN,
text3,1,4,fällt,fällt,NOUN,
text3,1,5,derzeit,derzeit,PROPN,
text3,1,6,die,die,PROPN,
text3,1,7,Entscheidung,Entscheidung,PROPN,GPE_B
text3,1,8,",",",",PUNCT,
text3,1,9,wer,wer,NOUN,
text3,1,10,für,für,NOUN,
text3,1,11,die,die,VERB,
text3,1,12,kommenden,kommenden,ADJ,
text3,1,13,fünf,fünf,INTJ,
text3,1,14,Jahre,Jahre,PROPN,NORP_B
text3,1,15,die,die,VERB,
text3,1,16,Zügel,Zügel,PROPN,PERSON_B
text3,1,17,der,der,NOUN,PERSON_I
text3,1,18,europäischen,europäischen,PROPN,
text3,1,19,Digitalpolitik,Digitalpolitik,PROPN,ORG_B
text3,1,20,halten,halten,PROPN,
text3,1,21,wird,wird,NOUN,
text3,1,22,.,.,PUNCT,
text3,2,1,Die,die,AUX,PERSON_B
text3,2,2,Kommissar,Kommissar,PROPN,PERSON_I
text3,2,3,:,:,PUNCT,
text3,2,4,innen,innen,NOUN,
text3,2,5,werden,werden,NOUN,
text3,2,6,die,die,VERB,
text3,2,7,Regeln,Regeln,PROPN,PERSON_B
text3,2,8,für,für,NOUN,
text3,2,9,große,große,VERB,
text3,2,10,Tech,Tech,PROPN,ORG_B
text3,2,11,-,-,PUNCT,ORG_I
text3,2,12,Unternehmen,Unternehmen,PROPN,ORG_I
text3,2,13,maßgeblich,maßgeblich,PROPN,
text3,2,14,mitbestimmen,mitbestimman,NOUN,
