doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Liebe,Liebe,PROPN,PERSON_B
text1,1,2,Leser,Leser,PROPN,PERSON_I
text1,1,3,:,:,PUNCT,
text1,1,4,innen,innen,NOUN,
text1,1,5,",",",",PUNCT,
text3,1,1,die,die,VERB,
text3,1,2,Zeit,Zeit,PROPN,
text3,1,3,rennt,rennt,NOUN,
text3,1,4,:,:,PUNCT,
text3,1,5,Noch,Noch,PROPN,
text3,1,6,fehlen,fehlen,AUX,
text3,1,7,uns,un,VERB,
text3,1,8,aber,aber,PROPN,
text3,1,9,sage,sage,NOUN,
text3,1,10,und,und,PROPN,
text3,1,11,schreibe,schreibe,PROPN,
text3,1,12,217.913,217.913,NUM,
text3,1,13,Euro,Euro,PROPN,
text3,1,14,",",",",PUNCT,
text3,1,15,um,um,INTJ,
text3,1,16,unser,unser,NOUN,
text3,1,17,Spendenziel,Spendenziel,PROPN,PERSON_B
text3,1,18,bis,bis,CCONJ,
text3,1,19,zum,zum,ADJ,PERSON_B
text3,1,20,Jahresende,Jahresende,PROPN,PERSON_I
text3,1,21,zu,zu,NOUN,PERSON_I
text3,1,22,erreichen,erreichen,ADV,PERSON_I
text3,1,23,.,.,PUNCT,
text5,1,1,Die,die,VERB,ORG_B
text5,1,2,Lage,Lage,PROPN,ORG_I
text5,1,3,ist,ist,NOUN,
text5,1,4,aktuell,aktuell,PROPN,
text5,1,5,ernster,ernster,NOUN,
text5,1,6,",",",",PUNCT,
text5,1,7,als,al,NOUN,
text5,1,8,wir,wir,PROPN,
text5,1,9,Anfang,Anfang,PROPN,PERSON_B
text5,1,10,des,des,PROPN,PERSON_I
text5,1,11,Jahres,Jahres,PROPN,PERSON_I
text5,1,12,kalkuliert,kalkuliert,VERB,
text5,1,13,hatten,hatten,ADV,
text5,1,14,:,:,PUNCT,
text5,1,15,Auch,auch,ADJ,
text5,1,16,als,al,NOUN,
text5,1,17,gemeinnütziger,gemeinnütziger,VERB,
text5,1,18,Verein,Verein,PROPN,PERSON_B
text5,1,19,trifft,trifft,NOUN,
text5,1,20,uns,uns,VERB,
text5,1,21,die,die,VERB,
text5,1,22,Inflation,Inflation,PROPN,
text5,1,23,.,.,PUNCT,
text5,2,1,I,I,PRON,
text5,2,2,m,m,VERB,
text5,2,3,Laufe,Laufe,PROPN,PERSON_B
text5,2,4,dieses,diesis,NOUN,
text5,2,5,Jahres,Jahres,PROPN,PERSON_B
text5,2,6,sind,sind,VERB,
text5,2,7,unsere,unsere,NOUN,
text5,2,8,Kosten,kosten,ADJ,PERSON_B
text5,2,9,deutlich,deutlich,NOUN,
text5,2,10,gestiegen,gestiegen,NOUN,
text5,2,11,.,.,PUNCT,
text5,3,1,Und,und,NOUN,
text5,3,2,dann,dann,NOUN,
text5,3,3,mussten,mussten,VERB,
text5,3,4,wir,wir,NOUN,
text5,3,5,zum,zum,NOUN,PERSON_B
text5,3,6,Jahresende,Jahresende,PROPN,PERSON_I
text5,3,7,auch,auch,NOUN,
text5,3,8,noch,noch,ADV,
text5,3,9,überraschend,überraschend,PROPN,
text5,3,10,umziehen,umziehen,ADV,
text5,3,11,.,.,PUNCT,
text5,4,1,Daher,Daher,PROPN,
text5,4,2,sahen,sahen,NOUN,
text5,4,3,wir,wir,NOUN,
text5,4,4,uns,un,VERB,
text5,4,5,gezwungen,gezwungen,NOUN,
text5,4,6,",",",",PUNCT,
text5,4,7,unser,unser,NOUN,
text5,4,8,Spendenziel,Spendenziel,PROPN,PERSON_B
text5,4,9,in,in,ADP,
text5,4,10,diesem,diesem,PROPN,
text5,4,11,Jahr,Jahr,PROPN,PERSON_B
text5,4,12,zu,zu,PROPN,
text5,4,13,erhöhen,erhöhen,PROPN,
text5,4,14,.,.,PUNCT,
text7,1,1,Erreichen,Erreichen,PROPN,PERSON_B
text7,1,2,wir,wir,NOUN,
text7,1,3,das,das,PROPN,
text7,1,4,Spendenziel,Spendenziel,PROPN,PERSON_B
text7,1,5,bis,bis,ADP,
text7,1,6,zum,zum,NOUN,DATE_B
text7,1,7,31,31,NUM,DATE_I
text7,1,8,.,.,PUNCT,
text7,2,1,Dezember,dezember,NOUN,
text7,2,2,nicht,nicht,PROPN,
text7,2,3,",",",",PUNCT,
text7,2,4,müssen,müssen,PROPN,PERSON_B
text7,2,5,wir,wir,PROPN,
text7,2,6,netzpolitik.org,netzpolitik.org,X,ORG_B
text7,2,7,nicht,nicht,PROPN,ORG_I
text7,2,8,gleich,gleich,PROPN,
text7,2,9,dichtmachen,dichtmachen,PROPN,
text7,2,10,.,.,PUNCT,
text7,3,1,Allerdings,allerdings,ADJ,
text7,3,2,müssten,müssten,ADJ,
text7,3,3,wir,wir,NOUN,
text7,3,4,sehr,sehr,NOUN,
text7,3,5,schwierige,schwierige,PROPN,
text7,3,6,Entscheidungen,Entscheidungen,PROPN,ORG_B
text7,3,7,treffen,treffen,NOUN,
text7,3,8,.,.,PUNCT,
text9,1,1,Helft,helft,NOUN,ORG_B
text9,1,2,uns,uns,NOUN,
text9,1,3,dabei,dabei,NOUN,
text9,1,4,",",",",PUNCT,
text9,1,5,dass,dass,PROPN,
text9,1,6,wir,wir,PROPN,
text9,1,7,gar,gar,NOUN,
text9,1,8,nicht,nicht,PROPN,
text9,1,9,erst,erst,ADV,
text9,1,10,in,in,ADP,
text9,1,11,die,die,ADJ,
text9,1,12,prekäre,prekäre,ADJ,
text9,1,13,Lage,Lage,PROPN,
text9,1,14,kommen,komman,NOUN,
text9,1,15,",",",",PUNCT,
text9,1,16,entscheiden,entscheiden,PROPN,
text9,1,17,zu,zu,PROPN,
