doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Apple,apple,NOUN,ORG_B
text1,1,2,hat,hat,NOUN,
text1,1,3,angekündigt,angekündigt,PROPN,
text1,1,4,",",",",PUNCT,
text1,1,5,dass,dass,PROPN,
text1,1,6,auf,auf,PROPN,
text1,1,7,seinen,seinen,NOUN,PERSON_B
text1,1,8,Endgeräten,Endgeräten,PROPN,PERSON_I
text1,1,9,in,in,ADP,
text1,1,10,mehreren,mehreren,PROPN,
text1,1,11,Ländern,Ländern,PROPN,FAC_B
text1,1,12,eine,eine,NOUN,
text1,1,13,neue,neue,NOUN,
text1,1,14,Kinderschutzfunktion,Kinderschutzfunktion,PROPN,GPE_B
text1,1,15,aktiviert,aktiviert,NOUN,
text1,1,16,werden,werden,NOUN,
text1,1,17,kann,kann,NOUN,
text1,1,18,.,.,PUNCT,
text1,2,1,Ist,ist,AUX,
text1,2,2,die,die,VERB,
text1,2,3,als,al,NOUN,
text1,3,1,„,„,PUNCT,
text1,3,2,Communication,Communication,PROPN,
text1,3,3,Safety,Safety,PROPN,
text1,3,4,in,in,ADP,
text1,3,5,Messages,Messages,PROPN,
text1,3,6,“,"""",PUNCT,
text1,3,7,benannte,benannte,NOUN,
text1,3,8,Funktion,Funktion,PROPN,
text1,3,9,angeschaltet,angeschaltet,NOUN,
text1,3,10,",",",",PUNCT,
text1,3,11,dann,dann,PROPN,
text1,3,12,untersucht,untersucht,PROPN,
text1,3,13,das,das,PROPN,PERSON_B
text1,3,14,Gerät,Gerät,PROPN,PERSON_I
text1,3,15,bei,bei,PROPN,
text1,3,16,Nutzung,Nutzung,PROPN,PERSON_B
text1,3,17,von,von,PROPN,PERSON_I
text1,3,18,Apples,Apples,PROPN,PERSON_I
text1,3,19,Messenger,Messenger,PROPN,PERSON_I
text1,3,20,eingehende,eingehende,VERB,
text1,3,21,und,und,ADJ,
text1,3,22,ausgehende,ausgehende,NOUN,
text1,3,23,Fotos,Fotos,PROPN,PRODUCT_B
text1,3,24,auf,auf,PROPN,
text1,3,25,Nacktheit,Nacktheit,PROPN,PERSON_B
text1,3,26,.,.,PUNCT,
text1,4,1,Das,Das,PROPN,
text1,4,2,US,US,PROPN,GPE_B
text1,4,3,-,-,PUNCT,
