doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Nicht,nicht,NOUN,ORG_B
text1,1,2,überall,überall,NOUN,
text1,1,3,",",",",PUNCT,
text1,1,4,wo,will,AUX,
text1,1,5,Panel,Panel,PROPN,
text1,1,6,oder,oder,NOUN,
text1,1,7,Diskussion,Diskussion,PROPN,
text1,1,8,draufsteht,draufsteht,NOUN,
text1,1,9,",",",",PUNCT,
text1,1,10,ist,ist,VERB,
text1,1,11,auch,auch,ADJ,
text1,1,12,Diskurs,Diskurs,PROPN,PERSON_B
text1,1,13,drin,drin,NOUN,
text1,1,14,.,.,PUNCT,
text1,2,1,Eine,eine,NOUN,
text1,2,2,parteiübergreifende,parteiübergreifende,ADJ,
text1,2,3,Initiative,Initiative,PROPN,PERSON_B
text1,2,4,von,von,PROPN,PERSON_I
text1,2,5,Europa,Europa,PROPN,PERSON_I
text1,2,6,-,-,PUNCT,PERSON_I
text1,2,7,Abgeordneten,abgeordneten,ADJ,PERSON_I
text1,2,8,hatte,hatte,NOUN,PERSON_B
text1,2,9,am,be,AUX,PERSON_I
text1,2,10,vergangenen,vergangenen,NOUN,
text1,2,11,Mittwoch,Mittwoch,PROPN,
text1,2,12,zu,zu,PROPN,
text1,2,13,einer,einer,NOUN,
text1,2,14,PR,PR,PROPN,
text1,2,15,-,-,PUNCT,
text1,2,16,Veranstaltung,Veranstaltung,PROPN,
text1,2,17,eingeladen,eingeladen,NOUN,
text1,2,18,.,.,PUNCT,
text1,3,1,Titel,titel,NOUN,
text1,3,2,:,:,PUNCT,
text1,3,3,„,„,PUNCT,
text1,3,4,Tech,tech,NOUN,
text1,3,5,to,to,PART,
text1,3,6,keep,keep,VERB,
text1,3,7,children,child,NOUN,
text1,3,8,safe,safe,ADJ,
text1,3,9,online,online,NOUN,
text1,3,10,“,"""",PUNCT,
text1,3,11,",",",",PUNCT,
text1,3,12,es,es,PROPN,
text1,3,13,ging,ge,VERB,
text1,3,14,um,um,INTJ,
text1,3,15,die,die,VERB,
text1,3,16,Bewerbung,Bewerbung,PROPN,PERSON_B
text1,3,17,der,der,NOUN,PERSON_I
text1,3,18,geplanten,geplanten,VERB,
text1,3,19,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,3,20,.,.,PUNCT,
text3,1,1,Das,Das,PROPN,ORG_B
text3,1,2,Vorhaben,Vorhaben,PROPN,ORG_I
text3,1,3,ist,ist,ADP,
text3,1,4,hoch,hoch,PROPN,
text3,1,5,umstritten,umstritten,PROPN,
text3,1,6,",",",",PUNCT,
text3,1,7,weil,weil,PROPN,
text3,1,8,mit,mit,PROPN,ORG_B
text3,1,9,der,der,PROPN,
text3,1,10,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,1,11,die,die,VERB,ORG_I
text3,1,12,Endgeräte,endgeräte,ADJ,ORG_I
text3,1,13,aller,aller,NOUN,
text3,1,14,Menschen,Menschen,PROPN,PERSON_B
text3,1,15,auf,auf,PROPN,PERSON_I
text3,1,16,Darstellungen,Darstellungen,PROPN,PERSON_I
text3,1,17,von,von,PROPN,PERSON_I
